alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
JPN,['Japanese'],123210000,86.9815,2023,2025 Q2 P,142000.0,308.0,8.090645957573315,0.869815,5.152288344383057,5.152288344383057,0.5,False,36.25853476512919,18.129267382564596,36.25853476512919,36.25853476512919,28,False,Japan,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
DNK,['Danish'],6011488,99.7692,2024,2025 Q2 P,216000.0,178.0,6.778981984515728,0.997692,5.334453751150931,5.334453751150931,1.1,False,36.07870359744204,39.68657395718625,36.07870359744204,36.07870359744204,29,False,Denmark,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
PHL,"['English', 'Filipino']",114123600,83.7661,2023,,,,8.057375462910338,0.837661,,5.334453751150931,1.5,False,36.004091091817344,54.006136637726016,36.004091091817344,36.004091091817344,30,False,Philippines,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
UZB,"['Russian', 'Uzbek']",37859698,89.0136,2023,,,,7.578177145352642,0.8901359999999999,,5.334453751150931,0.5,False,35.98413545415025,17.992067727075124,35.98413545415025,35.98413545415025,31,False,Uzbekistan,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
VNM,['Vietnamese'],101343800,84.15,2024,,,,8.005797184621029,0.8415,,5.334453751150931,0.5,False,35.93756588309606,17.96878294154803,35.93756588309606,35.93756588309606,32,False,Viet Nam,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
KWT,['Arabic'],4881254,99.7473,2023,,,,6.688531407109154,0.9974729999999999,,5.334453751150931,0.5,False,35.58949894984911,17.794749474924554,35.58949894984911,35.58949894984911,33,False,Kuwait,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
HUN,['Hungarian'],9539502,93.779,2024,2025 Q2 P,269000.0,141.0,6.979525703394117,0.93779,5.429752280002408,5.429752280002408,1.1,False,35.53951728398028,39.093469012378314,35.53951728398028,35.53951728398028,34,False,Hungary,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
HKG,"['English', 'Chinese']",7527500,95.9778,2023,,,,6.876650764184797,0.959778,,5.334453751150931,1.5,False,35.207704780833,52.8115571712495,35.207704780833,35.207704780833,35,False,Hong Kong,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
MEX,['Spanish'],130575786,81.1832,2023,2025 Q2 P,207000.0,336.0,8.115862648749394,0.811832,5.315970345456917,5.315970345456917,1.1,False,35.025424217756886,38.52796663953258,35.025424217756886,35.025424217756886,36,False,Mexico,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
NOR,"['Norwegian Nynorsk', 'Norwegian Bokmål', 'Sami']",5606944,99.0,2023,2025 Q1 P,174000.0,168.0,6.7487262185539185,0.99,5.2405492482825995,5.2405492482825995,0.5,False,35.01336179039273,17.506680895196364,35.01336179039273,35.01336179039273,37,False,Norway,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
