alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id
VCT,['English'],110872,75.9927,2023,,,,5.044821881759084,0.759927,,5.334453751150931,1.5,30.67601387767666,71,False,Saint Vincent and the Grenadines,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
MAC,"['Portuguese', 'Chinese']",685900,89.1806,2023,,,,5.836260802858487,0.891806,,5.334453751150931,1.1,30.541314143457374,72,False,Macao,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
MDA,['Romanian'],2749076,80.2126,2023,,,,6.439186746363795,0.8021259999999999,,5.334453751150931,1.1,30.30792846963084,73,False,"Moldova, Republic of",,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
MNE,['Montenegrin'],623327,88.8826,2024,,,,5.7947159391766885,0.888826,,5.334453751150931,1.1,30.22258035355244,74,False,Montenegro,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
GRD,['English'],109021,74.1201,2023,,,,5.037510161295513,0.7412009999999999,,5.334453751150931,1.5,29.876735689290946,75,False,Grenada,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
LCA,['English'],184100,70.0834,2023,,,,5.265053788504015,0.700834,,5.334453751150931,1.5,29.525631047302547,76,False,Saint Lucia,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
CUB,['Spanish'],9748007,71.275,2023,,,,6.988915832377714,0.7127500000000001,,5.334453751150931,1.1,29.23005790155522,77,False,Cuba,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
BOL,"['Aymara', 'Guaraní', 'Quechua', 'Spanish']",11365333,70.2368,2023,,,,7.055582164913061,0.702368,,5.334453751150931,1.1,29.07904971494248,78,False,"Bolivia, Plurinational State of",,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
KNA,['English'],51320,76.4208,2023,,,,4.710286647702891,0.764208,,5.334453751150931,1.5,28.80315955681109,79,False,Saint Kitts and Nevis,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
LUX,"['German', 'French', 'Luxembourgish']",681973,98.7606,2024,2025 Q2 P,34000.0,21.0,5.8337671808395735,0.987606,4.531478917042255,4.531478917042255,1.1,28.718745272170615,80,False,Luxembourg,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
ABW,"['Dutch', 'Papiamento']",107566,97.17,2017,,,,5.031675019046017,0.9717,,5.334453751150931,1.1,28.68979371893872,81,False,Aruba,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
VGB,['English'],39471,77.7043,2017,,,,4.596278129409967,0.777043,,5.334453751150931,1.5,28.57804834009994,82,False,"Virgin Islands, British",,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
CUW,"['English', 'Dutch', 'Papiamento']",156115,68.1272,2017,,,,5.193444633390771,0.681272,,5.334453751150931,1.5,28.31113360501881,83,False,Curaçao,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
SWZ,"['English', 'Swazi']",1235549,57.62,2023,,,,6.09185997354031,0.5761999999999999,,5.334453751150931,1.5,28.086936951846504,84,False,Eswatini,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
AND,['Catalan'],88406,95.4456,2023,,,,4.946481741013802,0.954456,,5.334453751150931,1.1,27.703520523305286,85,False,Andorra,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
FRO,"['Danish', 'Faroese']",54885,97.582,2017,,,,4.739453668542288,0.9758199999999999,,5.334453751150931,1.1,27.13817486115546,86,False,Faroe Islands,,25-05-2025,True,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
GAB,['French'],2469296,71.9256,2023,,,,6.392573152897294,0.719256,,5.334453751150931,1.1,26.97999341633658,87,False,Gabon,,25-05-2025,True,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
VEN,['Spanish'],28517000,61.6,2017,,,,7.455103835626699,0.616,,5.334453751150931,1.1,26.947411126510577,88,False,"Venezuela, Bolivarian Republic of",,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
