trial,seed,seeds,seed_start,eng,euro,other,uk_missing,uk_floor,zone_start,zone_end,wrong_at_rank_test_mean,wrong_at_rank_test_median,wrong_at_rank_train_mean,incorrect_zone_closeness_test_mean,incorrect_zone_closeness_test_median,incorrect_zone_closeness_train_mean,correct_zone_closeness_test_mean,correct_zone_closeness_test_median,correct_zone_closeness_train_mean,correct_overlap_test_mean,correct_overlap_train_mean,incorrect_count,correct_count
56,1,20,0,1.0293925581032457,0.989581784886904,0.9839516550754446,p10,0.05,90.0,95.0,0.002173913043478261,0.0,0.008695652173913044,0.09940310045705761,0.06462786277122928,0.12449220437981763,0.059265843668221636,0.05718954248366013,0.05401654214232437,0.0,0.0,26,4
57,1,20,0,1.4377671221175796,0.9919159860999738,0.9292572031782796,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.08225892109329418,0.09850436204131277,0.07950092824601304,0.02639928698752228,0.028991596638655463,0.025680332739156268,0.0,0.0,26,4
58,1,20,0,1.1817865296405847,1.155181813676567,0.8719210593335606,p10,0.05,90.0,95.0,0.0011111111111111111,0.0,0.01,0.07628498600766735,0.0671768904085385,0.11682440519774051,0.30608108108108106,0.3333333333333333,0.29076576576576574,0.0,0.0,26,4
59,1,20,0,1.2080861313825126,0.9757074306839506,0.5042401312318344,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.028207860934295427,0.0278147192788958,0.02708481737382796,0.1951923076923077,0.1527777777777778,0.2204059829059829,0.0,0.0,26,4
60,1,20,0,1.4393589491044234,0.9113749591795742,0.9097070553063986,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.047107354351529136,0.041345914594681496,0.05266710513098886,0.021924226271241198,0.023268398268398268,0.02130685856432125,0.0,0.0,26,4
61,1,20,0,1.481100562590409,1.0710841710735541,0.5857585475888594,p10,0.05,90.0,95.0,0.007197802197802198,0.01098901098901099,0.014902319902319903,0.1281412661314215,0.16092494510878058,0.11539090435468209,0.48916666666666664,0.5111111111111111,0.5386111111111112,0.95,1.05,26,4
62,1,20,0,1.4338905322174966,1.1921325708479076,0.8520115711650357,p10,0.05,90.0,95.0,0.004736842105263157,0.0,0.005789473684210527,0.1212667816634018,0.06993626279282322,0.07863891900052832,0.09737541528239202,0.09986157253599114,0.10234772978959025,0.0,0.0,26,4
63,1,20,0,1.2544368730389452,1.0133906503030825,0.6734654422813109,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.041494135168899,0.03717970860659744,0.03464786553125785,0.4898601398601398,0.5151515151515151,0.538111888111888,0.95,1.05,26,4
64,1,20,0,1.1028808786473523,1.102245904274059,0.7164750605501582,p10,0.05,90.0,95.0,0.002777777777777778,0.0,0.008333333333333333,0.07933267685498557,0.05189416455863824,0.08874896226421525,0.07606281649385098,0.08391608391608392,0.07509464673257776,0.0,0.0,26,4
65,1,20,0,1.0970593224925949,0.9313272668524546,0.8329787641393414,p10,0.05,90.0,95.0,0.002688172043010753,0.0,0.008064516129032258,0.07830040104749916,0.04551888377060047,0.09165615267367143,0.05816973528541851,0.06575963718820861,0.05016236567090604,0.0,0.0,26,4
