alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli
JPN,['Japanese'],123210000,86.9815,2023,2025 Q2 P,142000.0,308.0,8.090645957573315,0.869815,False,5.152291402784132,p10,0.05,4.815572229111593,5.152291402784132,0.487278053386725,0.5,False,3.4291536222479486,1.7145768111239743,3.4291536222479486,3.4291536222479486,27,False,Japan,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
CAN,"['English', 'French']",41651653,93.9564,2023,2025 Q2 P,121000.0,142.0,7.619632241625957,0.9395640000000001,False,5.082788959512213,p10,0.05,4.815572229111593,5.082788959512213,0.4651598626904552,1.5,False,3.3301409267004574,4.995211390050686,3.3301409267004574,3.3301409267004574,28,False,Canada,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
SWE,['Swedish'],10605098,95.5293,2024,2025 Q2 P,150000.0,90.0,7.025514686116378,0.9552930000000001,False,5.176094154342576,p10,0.05,4.815572229111593,5.176094154342576,0.49485294965340487,1.1,False,3.3211684581443155,3.6532853039587474,3.3211684581443155,3.3211684581443155,29,False,Sweden,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
CHN,['Chinese'],1408280000,92.0,2024,,,,9.14868901159969,0.92,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,3.199407150077052,1.599703575038526,3.199407150077052,3.199407150077052,30,False,China,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
ZAF,"['Afrikaans', 'English', 'Southern Ndebele', 'Northern Sotho', 'Southern Sotho', 'Swazi', 'Tswana', 'Tsonga', 'Venda', 'Xhosa', 'Zulu']",63100945,75.6592,2023,2025 Q1 P,166000.0,223.0,7.800035863288702,0.7565919999999999,False,5.220110704263994,p10,0.05,4.815572229111593,5.220110704263994,0.5088606075014153,1.5,False,3.0030127524168435,4.504519128625265,3.0030127524168435,3.0030127524168435,31,False,South Africa,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
LTU,['Lithuanian'],2894886,88.5029,2023,2025 Q1 P,161000.0,63.0,6.461631465975109,0.885029,False,5.206828573504726,p10,0.05,4.815572229111593,5.206828573504726,0.504633753204554,1.1,False,2.885864806535018,3.17445128718852,2.885864806535018,2.885864806535018,32,False,Lithuania,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
SAU,['Arabic'],35300280,100.0,2024,,,,7.547778150202912,1.0,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.8690752909748802,1.4345376454874401,2.8690752909748802,2.8690752909748802,33,False,Saudi Arabia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
KOR,['Korean'],51159889,97.8956,2024,,,,7.708929593532578,0.978956,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.8686665569738388,1.4343332784869194,2.8686665569738388,2.8686665569738388,34,False,"Korea, Republic of",,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
MYS,"['English', 'Malay']",34231700,98.0206,2024,,,,7.534428467419687,0.980206,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,2.807310753501264,4.2109661302518955,2.807310753501264,2.807310753501264,35,False,Malaysia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
BGR,['Bulgarian'],6437360,82.439,2024,2025 Q1 P,151000.0,76.0,6.808707797095676,0.82439,False,5.178979823406043,p10,0.05,4.815572229111593,5.178979823406043,0.4957712738968041,0.5,False,2.7827793413194355,1.3913896706597177,2.7827793413194355,2.7827793413194355,36,False,Bulgaria,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
BRA,['Portuguese'],213421037,84.4635,2024,2025 Q1 P,65000.0,115.0,8.329237225785352,0.8446349999999999,False,4.812920038045028,p10,0.05,4.815572229111593,4.812920038045028,0.3792778132687557,1.1,False,2.6682821049760994,2.9351103154737097,2.6682821049760994,2.6682821049760994,37,False,Brazil,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
