alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
PNG,"['English', 'Hiri Motu', 'Tok Pisin']",11781559,24.0667,2023,,,,7.071202762462869,0.24066700000000002,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,50,False,Papua New Guinea,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
PCN,['English'],35,,,,,,1.5440680443502757,,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,51,False,Pitcairn,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
PER,"['Aymara', 'Quechua', 'Spanish']",34350244,81.9571,2024,,,,7.535929826329404,0.8195709999999999,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,52,False,Peru,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
PRK,['Korean'],25950000,0.0,2012,,,,7.414137362184476,0.0,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,53,False,"Korea, Democratic People's Republic of",,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
PRI,"['English', 'Spanish']",3203295,87.2918,2022,,,,6.505596935845423,0.872918,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,54,False,Puerto Rico,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MDV,['Maldivian'],515132,84.6851,2023,,,,5.711918529091912,0.846851,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,55,False,Maldives,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
PHL,"['English', 'Filipino']",114123600,83.7661,2023,,,,8.057375462910338,0.837661,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,56,False,Philippines,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
PAN,['Spanish'],4064780,68.5485,2023,,,,6.60903704504163,0.685485,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,57,False,Panama,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
NIC,['Spanish'],6803886,58.2314,2023,,,,6.832757028340634,0.582314,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,58,False,Nicaragua,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
NRU,"['English', 'Nauru']",11680,81.6554,2020,,,,4.067442842776381,0.816554,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,59,False,Nauru,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
NPL,['Nepali'],29911840,55.7716,2023,,,,7.475843129088429,0.557716,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,60,False,Nepal,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MKD,['Macedonian'],1822612,87.1819,2023,,,,6.260694225323314,0.871819,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,61,False,North Macedonia,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MMR,['Burmese'],51316756,58.5357,2023,,,,7.710259194549563,0.585357,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,62,False,Myanmar,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MNE,['Montenegrin'],623327,88.8826,2024,,,,5.7947159391766885,0.888826,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,63,False,Montenegro,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MNG,['Mongolian'],3544835,83.0162,2023,,,,6.549596025060067,0.830162,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,64,False,Mongolia,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MNP,"['Carolinian', 'Chamorro', 'English']",47329,0.0,1990,,,,4.675127328489335,0.0,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,65,False,Northern Mariana Islands,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MOZ,['Portuguese'],34090466,19.8434,2023,,,,7.532632937862664,0.198434,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,66,False,Mozambique,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MRT,['Arabic'],4927532,37.3809,2023,,,,6.69262945332252,0.37380899999999995,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,67,False,Mauritania,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MSR,['English'],4386,,,,,,3.642068627341504,,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,68,False,Montserrat,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MTQ,['French'],349925,,,,,,5.543974971274539,,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,69,False,Martinique,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MUS,"['English', 'French', 'Mauritian Creole']",1243741,79.5,2023,,,,6.094729951108975,0.795,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,70,False,Mauritius,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MWI,"['English', 'Chewa']",20734262,17.9881,2023,,,,7.316688582018264,0.17988099999999999,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,71,False,Malawi,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MYS,"['English', 'Malay']",34231700,98.0206,2024,,,,7.534428467419687,0.980206,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,72,False,Malaysia,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MYT,['French'],320901,,,,,,5.506371070457315,,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,73,False,Mayotte,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
NAM,"['Afrikaans', 'German', 'English', 'Herero', 'Khoekhoe', 'Kwangali', 'Lozi', 'Ndonga', 'Tswana']",3022401,64.4061,2023,,,,6.480352084269662,0.644061,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,74,False,Namibia,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
NCL,['French'],264596,82.0058,2017,,,,5.422583274503567,0.820058,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,75,False,New Caledonia,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
PYF,['French'],279500,72.7039,2017,,,,5.446381812222442,0.727039,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,76,False,French Polynesia,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
NER,['French'],26312034,23.1879,2023,,,,7.420154421663518,0.231879,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,77,False,Niger,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
NFK,"['English', 'Norfuk']",2188,,,,,,3.340047317661393,,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,78,False,Norfolk Island,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MLI,['French'],22395489,35.0921,2023,,,,7.350160549597546,0.35092100000000004,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,79,False,Mali,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
NIU,"['English', 'Niuean']",1681,,,,,,3.225567713439471,,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,80,False,Niue,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
MHL,"['English', 'Marshallese']",42418,65.7177,2023,,,,4.627550187767521,0.6571769999999999,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,81,False,Marshall Islands,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
PSE,['Arabic'],5483450,86.6377,2023,,,,6.739053887776157,0.866377,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,82,False,"Palestine, State of",,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
ABW,"['Dutch', 'Papiamento']",107566,97.17,2017,,,,5.031675019046017,0.9717,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,83,False,Aruba,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
QAT,['Arabic'],3173024,99.6528,2023,,,,6.501473357013159,0.996528,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,84,False,Qatar,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
REU,['French'],896175,,,,,,5.9523928245206905,,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,85,False,Réunion,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
TKL,"['English', 'Samoan', 'Tokelauan']",2608,,,,,,3.4163075870598827,,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,86,False,Tokelau,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
TKM,"['Russian', 'Turkmen']",7057841,21.251,2017,,,,6.84867187028912,0.21251,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,87,False,Turkmenistan,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
TLS,"['Portuguese', 'Tetum']",1391221,34.0207,2023,,,,6.143396124569186,0.340207,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,88,False,Timor-Leste,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
TON,"['English', 'Tongan']",100179,58.5334,2023,,,,5.0007766921902945,0.585334,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,89,False,Tonga,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
TTO,['English'],1367764,84.6994,2023,,,,6.136011168773308,0.846994,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,90,True,Trinidad and Tobago,Trinidad and Tobago,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
TUR,['Turkish'],85664944,87.3079,2024,,,,7.932803135318054,0.873079,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,91,True,Türkiye,Türkiye,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
