alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
AND,['Catalan'],88406,95.4456,2023,,,,4.946481741013802,0.954456,,5.334453751150931,1.1,True,25.18501865755026,27.703520523305286,25.18501865755026,27.703520523305286,85,False,Andorra,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
FRO,"['Danish', 'Faroese']",54885,97.582,2017,,,,4.739453668542288,0.9758199999999999,,5.334453751150931,1.1,True,24.67106805559587,27.13817486115546,24.67106805559587,27.13817486115546,86,False,Faroe Islands,,25-05-2025,True,with-lang,with-lang_20251219T111037Z,with-language
GAB,['French'],2469296,71.9256,2023,,,,6.392573152897294,0.719256,,5.334453751150931,1.1,True,24.527266742124162,26.97999341633658,24.527266742124162,26.97999341633658,87,False,Gabon,,25-05-2025,True,with-lang,with-lang_20251219T111037Z,with-language
VEN,['Spanish'],28517000,61.6,2017,,,,7.455103835626699,0.616,,5.334453751150931,1.1,True,24.497646478645976,26.947411126510577,24.497646478645976,26.947411126510577,88,False,"Venezuela, Bolivarian Republic of",,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
SLV,['Spanish'],6029976,67.6558,2023,,,,6.78031558360146,0.676558,,5.334453751150931,1.1,True,24.470615669860234,26.91767723684626,24.470615669860234,26.91767723684626,89,False,El Salvador,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
MCO,['French'],38423,99.1497,2023,,,,4.584591270795872,0.991497,,5.334453751150931,1.1,True,24.248338267253622,26.673172093978987,24.248338267253622,26.673172093978987,90,True,Monaco,Monaco,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
SUR,['Dutch'],616500,78.3958,2023,,,,5.789933080931751,0.7839579999999999,,5.334453751150931,1.1,True,24.213428892641378,26.634771781905517,24.213428892641378,26.634771781905517,91,True,Suriname,Suriname,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
PAN,['Spanish'],4064780,68.5485,2023,,,,6.60903704504163,0.685485,,5.334453751150931,1.1,True,24.167186649837546,26.583905314821305,24.167186649837546,26.583905314821305,92,True,Panama,Panama,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
NRU,"['English', 'Nauru']",11680,81.6554,2020,,,,4.067442842776381,0.816554,,5.334453751150931,1.5,True,17.717250418370778,26.575875627556165,17.717250418370778,26.575875627556165,93,True,Nauru,Nauru,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
LIE,['German'],40900,97.3444,2023,,,,4.611723308007342,0.973444,,5.334453751150931,1.1,True,23.947719887745507,26.34249187652006,23.947719887745507,26.34249187652006,94,True,Liechtenstein,Liechtenstein,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
NCL,['French'],264596,82.0058,2017,,,,5.422583274503567,0.820058,,5.334453751150931,1.1,True,23.72142388361715,26.093566271978865,23.72142388361715,26.093566271978865,95,True,New Caledonia,New Caledonia,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
SEN,['French'],18593258,60.6122,2023,,,,7.26935549560564,0.606122,,5.334453751150931,1.1,True,23.504223580306206,25.85464593833683,23.504223580306206,25.85464593833683,96,False,Senegal,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
VIR,['English'],87146,64.3775,2017,,,,4.940247457793744,0.643775,,5.334453751150931,1.5,True,16.965738356993906,25.448607535490858,16.965738356993906,25.448607535490858,97,False,"Virgin Islands, U.S.",,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
