alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_multi_count,bayes_hdi_prob,bayes_rank,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_multi_count_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
NOR,"['Norwegian Nynorsk', 'Norwegian Bokmål', 'Sami']",5606944,99.0,2023,2025 Q1 P,174000.0,168.0,6.7487262185539185,0.99,False,5.240551744220726,p10,0.05,4.815572229111593,5.240551744220726,0.5153656855750625,1.25,1.0,0.75,0.75,False,3.4432812952396046,2.5824609714297035,3.4432812952396046,3.4432812952396046,26,False,Norway,,25-05-2025,multi,100.0,82.84938201431876,78.00035986062086,87.83015853702712,8.171448242344261e-33,6.302193364777713e-37,1.0399015993011095e-32,100,0.9,217,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
JPN,['Japanese'],123210000,86.9815,2023,2025 Q2 P,142000.0,308.0,8.090645957573315,0.869815,False,5.152291402784132,p10,0.05,4.815572229111593,5.152291402784132,0.487278053386725,1.25,1.0,0.75,0.75,False,3.4291536222479486,2.5718652166859615,3.4291536222479486,3.4291536222479486,27,False,Japan,,25-05-2025,multi,100.0,128.65087335000845,119.93020396361511,137.69604437636744,1.7335714115733333e-50,2.179418941608477e-58,9.860588532681757e-51,100,0.9,243,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
CAN,"['English', 'French']",41651653,93.9564,2023,2025 Q2 P,121000.0,142.0,7.619632241625957,0.9395640000000001,False,5.082788959512213,p10,0.05,4.815572229111593,5.082788959512213,0.4651598626904552,1.25,1.0,0.75,1.25,False,3.3301409267004574,4.162676158375572,3.3301409267004574,3.3301409267004574,28,False,Canada,,25-05-2025,multi,100.0,123.55995868369192,115.93290680390751,131.59605634076127,2.921841898947796e-48,9.285426803278368e-56,5.190847553365919e-49,100,0.9,241,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
SWE,['Swedish'],10605098,95.5293,2024,2025 Q2 P,150000.0,90.0,7.025514686116378,0.9552930000000001,False,5.176094154342576,p10,0.05,4.815572229111593,5.176094154342576,0.49485294965340487,1.25,1.0,0.75,1.0,False,3.3211684581443155,3.3211684581443155,3.3211684581443155,3.3211684581443155,29,False,Sweden,,25-05-2025,multi,100.0,88.92554058534229,84.22030900704027,93.84638585390117,1.6144285196872351e-35,1.6422919939954182e-39,2.2335981001316267e-35,100,0.9,225,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
CHN,['Chinese'],1408280000,92.0,2024,,,,9.14868901159969,0.92,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,3.199407150077052,2.399555362557789,3.199407150077052,3.199407150077052,30,False,China,,25-05-2025,unknown,,252.07729293460025,226.32939581903864,279.9590081038336,6.279137062954614e-89,7.285237180266113e-120,1.1511751019165423e-96,100,0.9,249,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
ZAF,"['Afrikaans', 'English', 'Southern Ndebele', 'Northern Sotho', 'Southern Sotho', 'Swazi', 'Tswana', 'Tsonga', 'Venda', 'Xhosa', 'Zulu']",63100945,75.6592,2023,2025 Q1 P,166000.0,223.0,7.800035863288702,0.7565919999999999,False,5.220110704263994,p10,0.05,4.815572229111593,5.220110704263994,0.5088606075014153,1.25,1.0,0.75,1.25,False,3.0030127524168435,3.7537659405210544,3.0030127524168435,3.0030127524168435,31,False,South Africa,,25-05-2025,multi,100.0,73.98214878395764,67.87569706034694,80.55034155908432,1.6523840706883084e-28,8.385151804492181e-34,2.257746097604566e-28,100,0.9,202,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
LTU,['Lithuanian'],2894886,88.5029,2023,2025 Q1 P,161000.0,63.0,6.461631465975109,0.885029,False,5.206828573504726,p10,0.05,4.815572229111593,5.206828573504726,0.504633753204554,1.25,1.0,0.75,1.0,False,2.885864806535018,2.885864806535018,2.885864806535018,2.885864806535018,32,False,Lithuania,,25-05-2025,unknown,,50.31974309223688,46.623978057288824,54.363573828063615,7.197429429590133e-20,1.3351126503422628e-22,2.6307219966040084e-19,100,0.9,176,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
SAU,['Arabic'],35300280,100.0,2024,,,,7.547778150202912,1.0,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.8690752909748802,2.15180646823116,2.8690752909748802,2.8690752909748802,33,False,Saudi Arabia,,25-05-2025,unknown,,124.91398627461872,118.32664998647763,131.89636946314806,8.549377188878907e-49,6.89261965998102e-56,4.83583861725626e-50,100,0.9,242,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
KOR,['Korean'],51159889,97.8956,2024,,,,7.708929593532578,0.978956,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.8686665569738388,2.151499917730379,2.8686665569738388,2.8686665569738388,34,False,"Korea, Republic of",,25-05-2025,unknown,,128.57366296631525,122.05586332217928,135.5346416990427,1.4922553693978388e-50,1.8625320242276715e-57,1.1977627273343603e-51,100,0.9,244,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
MYS,"['English', 'Malay']",34231700,98.0206,2024,,,,7.534428467419687,0.980206,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,1.25,False,2.807310753501264,3.50913844187658,2.807310753501264,2.807310753501264,35,False,Malaysia,,25-05-2025,unknown,,116.29550081059604,110.91492896229488,122.06849662562725,3.1201428824780317e-46,1.1828643400261737e-51,7.504796896279922e-47,100,0.9,238,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
