alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_multi_count,bayes_hdi_prob,bayes_rank,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_multi_count_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
CHL,['Spanish'],20206953,94.4574,2023,,,,7.3055008313257455,0.944574,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,1.0,False,2.623063476426784,2.623063476426784,2.623063476426784,2.623063476426784,42,False,Chile,,25-05-2025,unknown,,90.53932676168421,87.13539160196721,94.1027570474777,3.350136696109995e-37,1.2743670577061464e-39,1.2524916863505517e-36,100,0.9,229,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
ARG,"['Guaraní', 'Spanish']",46735004,89.6672,2024,,,,7.6696422841965495,0.8966719999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,1.0,False,2.6141562121994517,2.6141562121994517,2.6141562121994517,2.6141562121994517,43,False,Argentina,,25-05-2025,unknown,,96.51305626714661,92.77516187514095,100.33756506426082,1.3389414058526634e-39,2.663254881266744e-42,4.739045329367804e-39,100,0.9,231,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
KAZ,"['Kazakh', 'Russian']",20426568,93.3917,2024,,,,7.310195404132739,0.933917,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.5951357802794424,1.9463518352095819,2.5951357802794424,2.5951357802794424,44,False,Kazakhstan,,25-05-2025,unknown,,87.74349326155613,84.50749855443807,91.1753184783484,4.571131247918303e-36,2.3064264067774017e-38,1.6817248707349628e-35,100,0.9,226,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
ISR,"['Arabic', 'Hebrew']",10134800,88.1824,2024,2025 Q2 P,87000.0,94.0,7.00581518275242,0.881824,False,4.939524244480526,p10,0.05,4.815572229111593,4.939524244480526,0.41956784983530654,1.25,1.0,0.75,0.75,False,2.5920465276805906,1.944034895760443,2.5920465276805906,2.5920465276805906,45,False,Israel,,25-05-2025,unknown,,73.78221315222903,68.53035822948445,79.22847736613866,4.9122822588030654e-29,3.0930952759188485e-33,1.1844768686432583e-28,100,0.9,203,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
PHL,"['English', 'Filipino']",114123600,83.7661,2023,,,,8.057375462910338,0.837661,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,1.25,False,2.565575007512632,3.2069687593907896,2.565575007512632,2.565575007512632,46,False,Philippines,,25-05-2025,unknown,,100.71415517482352,95.48306500670805,106.06144669098165,2.5811321495810717e-40,9.197254991223464e-45,3.2520719781310523e-40,100,0.9,233,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
UZB,"['Russian', 'Uzbek']",37859698,89.0136,2023,,,,7.578177145352642,0.8901359999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.5641530111865167,1.9231147583898875,2.5641530111865167,2.5641530111865167,47,False,Uzbekistan,,25-05-2025,unknown,,89.4887668964695,86.01742085466059,93.059373583407,1.0588326646649463e-36,3.577568171238319e-39,3.781773432699529e-36,100,0.9,227,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
VNM,['Vietnamese'],101343800,84.15,2024,,,,8.005797184621029,0.8415,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.5608345625329316,1.9206259218996986,2.5608345625329316,2.5608345625329316,48,False,Viet Nam,,25-05-2025,unknown,,98.86558907712734,93.89227440130885,103.96163791619735,1.0561343008123359e-39,7.360506065327904e-44,1.56939909639117e-39,100,0.9,232,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
KWT,['Arabic'],4881254,99.7473,2023,,,,6.688531407109154,0.9974729999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.536032052656966,1.9020240394927246,2.536032052656966,2.536032052656966,49,False,Kuwait,,25-05-2025,unknown,,74.2367332384911,70.06574185701437,78.61474154030246,6.765141238447993e-30,5.6696413041264976e-33,2.6081986527793145e-29,100,0.9,207,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
HKG,"['English', 'Chinese']",7527500,95.9778,2023,,,,6.876650764184797,0.959778,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,1.25,False,2.5088262116445152,3.136032764555644,2.5088262116445152,2.5088262116445152,50,False,Hong Kong,,25-05-2025,unknown,,73.5959642466533,70.10631585193806,77.18825802150921,6.55010017233292e-30,2.3180175420062715e-32,2.5059424386069212e-29,100,0.9,208,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
BLR,"['Belarusian', 'Russian']",9109280,94.2618,2024,,,,6.959484051574066,0.942618,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.493650539369199,1.870237904526899,2.493650539369199,2.493650539369199,51,False,Belarus,,25-05-2025,unknown,,73.18576543408017,69.92685528992156,76.61565316162842,8.169647898714039e-30,4.07907941880131e-32,2.9908671940351083e-29,100,0.9,205,False,False,True,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
JOR,['Arabic'],11734000,92.5344,2023,,,,7.069446083880313,0.925344,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.486631429749247,1.8649735723119352,2.486631429749247,2.486631429749247,52,False,Jordan,,25-05-2025,unknown,,73.93986131899975,70.77296609745798,77.20267753798886,3.4539391317766234e-30,2.2852594877717295e-32,1.2988492686834894e-29,100,0.9,209,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
IRL,"['English', 'Irish']",5458600,96.4974,2023,,,,6.7370812708662235,0.964974,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,1.25,False,2.4712132111008422,3.089016513876053,2.4712132111008422,2.4712132111008422,53,False,Ireland,,25-05-2025,multi,100.0,68.85428597722083,65.244371166881,72.56674116784107,7.908245072556951e-28,2.2151460754579544e-30,3.0149005318022883e-27,100,0.9,198,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
QAT,['Arabic'],3173024,99.6528,2023,,,,6.501473357013159,0.996528,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.4627714574691932,1.847078593101895,2.4627714574691932,2.4627714574691932,54,False,Qatar,,25-05-2025,unknown,,66.19891629257275,62.05051454531979,70.44816232269197,1.836561947880169e-26,1.7890472787391306e-29,6.99116212976657e-26,100,0.9,193,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
