alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,bayes_rank,run_label,run_id,model_variant,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
NAM,"['Afrikaans', 'German', 'English', 'Herero', 'Khoekhoe', 'Kwangali', 'Lozi', 'Ndonga', 'Tswana']",3022401,-22.0,17.0,64.4061,2023,8645.062200942311,6.480352084269662,0.644061,1.25,1.0,0.75,1.25,False,4.1737420437468025,5.217177554683503,4.1737420437468025,4.1737420437468025,129,False,Namibia,,25-05-2025,unknown,,0.739047602471752,0.6272457112588087,0.8456702671310531,2.0985348924881726,1.872446214014342,2.329538705760045,0.257466736961499,0.22675878716048276,0.28788318113649003,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,12.485959413390752,0.820058,9.695930082611039,-0.4989775118108784,0.4987610417865734,1.23673066803366,28,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
NPL,['Nepali'],29911840,28.0,84.0,55.7716,2023,7274.024934828563,7.475843129088429,0.557716,1.25,1.0,0.75,0.75,False,4.169397326582682,3.127047994937011,4.169397326582682,4.169397326582682,130,False,Nepal,,25-05-2025,unknown,,3.5715428912935963,3.39138580777568,3.7301621708846926,35.75776448408096,29.707092078085047,41.68586785130611,1.893991008885924e-12,3.281304031008164e-17,3.725923895563134e-12,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,9.365633256382218,0.816554,9.545695956329675,-1.599438251309264,0.4863899272526999,1.045807802854781,203,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
HND,['Spanish'],9892632,15.0,-86.5,58.2789,2023,8306.703236709109,6.995311853882634,0.582789,1.25,1.0,0.75,1.0,False,4.0767908000124065,4.0767908000124065,4.0767908000124065,4.0767908000124065,131,False,Honduras,,25-05-2025,unknown,,2.226475371006574,2.085693115319366,2.35009486075201,9.297017238575059,8.05016924524501,10.486564444277253,0.0010580357083592544,0.00029266862451259886,0.0025683897604079475,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,15.167791205946209,0.8363240000000001,7.373095624812952,0.4468372681655939,0.5561892806587165,-1.715209886327943,132,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
GTM,['Spanish'],18079810,15.5,-90.25,56.0535,2023,8506.069378051501,7.25719386217999,0.560535,1.25,1.0,0.75,1.0,False,4.067911161537061,4.067911161537061,4.067911161537061,4.067911161537061,132,False,Guatemala,,25-05-2025,unknown,,3.272098359863873,3.1040980316702966,3.4191335699832313,26.487763728686296,22.28910585348657,30.542940239275183,1.25171758233267e-09,1.660659132347876e-12,4.656473036708779e-09,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,12.585720675740419,,8.883062173766731,-0.46379421781706853,0.0,0.20370924999802245,198,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
BLZ,"['Belizean Creole', 'English', 'Spanish']",417634,17.25,-88.75,72.3595,2023,8254.296742517694,5.620795847779911,0.723595,1.25,1.0,0.75,1.25,False,4.067179771474305,5.083974714342881,4.067179771474305,4.067179771474305,133,False,Belize,,25-05-2025,unknown,,-2.4842523500354594,-2.666741668471498,-2.300976548091864,0.08391202254710142,0.0694782410867803,0.10016098523082402,0.07708017538006919,0.06481489152718926,0.09061481839075167,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,12.942360729860852,0.723595,9.01861030271211,-0.3380162196387061,0.158191743475771,0.3759686279999313,64,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
DMA,['English'],67408,15.41666666,-61.33333333,83.8255,2023,6641.679533511476,4.828711441782772,0.8382550000000001,1.25,1.0,0.75,1.25,False,4.047691509631618,5.059614387039523,4.047691509631618,4.047691509631618,134,False,Dominica,,25-05-2025,unknown,,-5.730523401263993,-6.03892454627999,-5.426860742271305,0.003302097591025188,0.002384122548847285,0.004396878094252839,0.0032908308793129105,0.0023784452788570445,0.004377587996423403,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,11.118518984218797,0.8382550000000001,8.801270705271952,-0.9812394389900645,0.563006809815369,0.09976574595709978,120,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
CYM,['English'],84738,19.3133,-81.2546,81.0677,2017,7586.076353167158,4.928078209497234,0.810677,1.25,1.0,0.75,1.25,False,3.9950796586405892,4.993849573300737,3.9950796586405892,3.9950796586405892,135,False,Cayman Islands,,25-05-2025,unknown,,-5.021976865201262,-5.311061030784898,-4.742995974530946,0.0066916883409737235,0.004936686962481623,0.008712505604061518,0.006645706770337496,0.004912376141142589,0.008636927565271475,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,11.347319422297119,0.810677,8.934201598970995,-0.9005472656030964,0.46564077196857445,0.2686990484231372,110,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
TJK,"['Russian', 'Tajik']",10499000,39.0,71.0,56.791,2023,5560.601283896435,7.021147935720995,0.5679099999999999,1.25,1.0,0.75,0.75,False,3.9873801241753095,2.990535093131482,3.9873801241753095,3.9873801241753095,136,False,Tajikistan,,25-05-2025,unknown,,0.46169923388941664,0.32070476919788754,0.590516221795694,1.5921567618005779,1.3780986647525446,1.8049199149718609,0.32325596060816575,0.29688699743031144,0.3473598881616273,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,7.866338923046544,,9.611351325718024,-2.128201741972718,0.0,1.1292449788698036,11,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
NIC,['Spanish'],6803886,13.0,-85.0,58.2314,2023,8385.961072901764,6.832757028340634,0.582314,1.25,1.0,0.75,1.0,False,3.978810076201148,3.978810076201148,3.978810076201148,3.978810076201148,137,False,Nicaragua,,25-05-2025,unknown,,1.518456521882654,1.3809630596896723,1.6404783299666803,4.579381370183274,3.978731539993662,5.157635977413019,0.04871290252147127,0.029683687109712885,0.07443950626105629,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,7.427144133408616,,9.67984675851887,-2.2830947238820674,0.0,1.2162914083708696,76,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
PYF,['French'],279500,-17.6797,-149.4068,72.7039,2017,15105.878135071034,5.446381812222442,0.727039,1.25,1.0,0.75,1.0,False,3.959731986376392,3.959731986376392,3.959731986376392,3.959731986376392,138,False,French Polynesia,,25-05-2025,unknown,,-0.661783600969816,-0.8974959093019756,-0.43222865799223825,0.5211455845899186,0.40758902380035206,0.6490609486830986,0.30709010669465614,0.27114950516436115,0.33915786383798513,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,14.970195634356456,0.996528,8.588127760865625,0.37715026818808767,1.1218005913849407,-0.17110388031213866,17,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
