alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_rank,run_label,run_id,model_variant,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
CAN,"['English', 'French']",41651653,93.9564,2023,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,11,False,Canada,,25-05-2025,unknown,,7.402290242442738,7.3101841671517604,7.4916144759066094,1642.2331934543192,1495.4525784072052,1792.9444447949877,0.0,0.0,0.0,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,17.544851613664733,0.9395640000000001,1.285166828117139,0.9206852465483037,226,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
THA,['Thai'],65859640,90.8672,2024,7.818619352454832,0.9086719999999999,1.25,1.0,0.75,0.75,False,7.104560484233837,5.328420363175378,7.104560484233837,7.104560484233837,12,False,Thailand,,25-05-2025,unknown,,7.699539656532294,7.604078372947596,7.797342840550885,2210.973532757128,2006.3619269959363,2434.125518189593,0.0,0.0,0.0,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,18.003036368757254,0.9086719999999999,1.446757094340909,0.8116189023187301,226,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
ARE,['Arabic'],11294243,100.0,2024,7.052857127514885,1.0,1.25,1.0,0.75,0.75,False,7.052857127514885,5.289642845636164,7.052857127514885,7.052857127514885,13,False,United Arab Emirates,,25-05-2025,unknown,,6.186453333174988,6.071837421941137,6.299017120294519,487.3004406470549,433.4764358567703,544.0369357304701,8.094738713203582e-170,2.9220570295311127e-234,2.409270221966979e-186,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,16.23980368483258,1.0,0.8249091702380947,1.1340587277038934,219,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
NLD,['Dutch'],18100436,97.0068,2023,7.257689036201425,0.9700679999999999,1.25,1.0,0.75,1.0,False,7.0404518879698434,7.0404518879698434,7.0404518879698434,7.0404518879698434,14,False,Netherlands,,25-05-2025,unknown,,6.5174541061815345,6.41914166215905,6.613081341401778,678.0506157830391,613.4763182470992,744.7743910258494,1.257556593628223e-245,3.68e-321,2.2826954720901072e-264,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,16.711446584343722,0.9700679999999999,0.9912457863028667,1.0283817299219566,222,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
JPN,['Japanese'],123210000,86.9815,2023,8.090645957573315,0.869815,1.25,1.0,0.75,0.75,False,7.037365213586633,5.278023910189975,7.037365213586633,7.037365213586633,15,False,Japan,,25-05-2025,unknown,,8.151104697866774,8.04167255163733,8.266695935508354,3475.2538957628094,3107.8068882548623,3892.068110180874,0.0,0.0,0.0,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,18.62940077460085,0.869815,1.6676601033747256,0.6744315742814223,226,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
BRA,['Portuguese'],213421037,84.4635,2024,8.329237225785352,0.8446349999999999,1.25,1.0,0.75,1.0,False,7.03516528420121,7.03516528420121,7.03516528420121,7.03516528420121,16,False,Brazil,,25-05-2025,unknown,,8.66642807192398,8.535311606487777,8.80600238255261,5824.120948836263,5091.417749646592,6674.185048598105,0.0,0.0,0.0,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,19.178777472104436,0.8446349999999999,1.8614114794736836,0.5855318414152867,226,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
FRA,['French'],66351959,88.6538,2024,7.821853749662105,0.886538,1.25,1.0,0.75,1.0,False,6.934370579517943,6.934370579517943,6.934370579517943,6.934370579517943,17,False,France,,25-05-2025,unknown,,7.4145343081877675,7.321625101778536,7.509045289136516,1662.5387860245405,1512.6602002784905,1824.4708693043224,0.0,0.0,0.0,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,18.010483843551544,0.886538,1.4493836318267779,0.733473283285409,226,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
ITA,"['Italian', 'Catalan']",58927633,89.2207,2024,7.7703189967427955,0.892207,1.25,1.0,0.75,1.0,False,6.932733001126899,6.932733001126899,6.932733001126899,6.932733001126899,18,False,Italy,,25-05-2025,unknown,,7.306311181179525,7.216834113362817,7.398115551332492,1491.8753883271083,1362.16975208115,1632.904453493565,0.0,0.0,0.0,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,17.89182068970841,0.892207,1.4075341149946603,0.7534880801725462,226,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
TUR,['Turkish'],85664944,87.3079,2024,7.932803135318054,0.873079,1.25,1.0,0.75,0.75,False,6.925963828580352,5.194472871435265,6.925963828580352,6.925963828580352,19,False,Türkiye,,25-05-2025,unknown,,7.63072398628238,7.531308629113035,7.733704502932356,2064.2826912215146,1865.5452246875357,2284.0478095568637,0.0,0.0,0.0,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,18.26595424503978,0.873079,1.5394816320983964,0.685955352203387,226,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
CHL,['Spanish'],20206953,94.4574,2023,7.3055008313257455,0.944574,1.25,1.0,0.75,1.0,False,6.9005861422486845,6.9005861422486845,6.9005861422486845,6.9005861422486845,20,False,Chile,,25-05-2025,unknown,,6.346744406044236,6.25564870277422,6.435543263958517,571.473471251958,520.9472210928593,623.6212821904951,1.5019591498075008e-211,9.114569461025006e-269,2.9965369149562214e-224,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,16.82153731106627,0.944574,1.0300720231912424,0.9383733983219071,221,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
