alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_rank,run_label,run_id,model_variant,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
FRA,['French'],66351959,46.0,2.0,88.6538,2024,7.821853749662105,0.886538,1.25,1.0,0.75,1.0,False,6.934370579517943,6.934370579517943,6.934370579517943,6.934370579517943,16,False,France,,25-05-2025,unknown,,-1.9350606544186155,-2.0201719776095137,-1.852946396474515,0.14460472321509196,0.1326328477712444,0.15677456851328003,0.1250918491185666,0.11615802636138423,0.13402606972696207,0.9,1.03,87.0,20.0,4.0,4.0,12.0,-0.5490043157074613,-0.6036672965726144,-0.5001734754298377,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3193268463990113,-1.382128148927941,-1.2562449019774997,0.6787887,0.2832404461542748,0.7173463703169086,0.6388487359787687,0.7893530257750134,18.010483843551544,0.886538,1.4493836318267779,0.733473283285409,147,bayes-no-distance-gbr-out-smoke,bayes-no-distance-gbr-out-smoke_20251221T000442Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
ITA,"['Italian', 'Catalan']",58927633,42.83333333,12.83333333,89.2207,2024,7.7703189967427955,0.892207,1.25,1.0,0.75,1.0,False,6.932733001126899,6.932733001126899,6.932733001126899,6.932733001126899,17,False,Italy,,25-05-2025,unknown,,-1.865489921453558,-1.950121457713242,-1.7841093414696905,0.15501973378207753,0.1422569640415753,0.1679465785252099,0.13270981699281884,0.12339341515157955,0.14198186883922947,0.9,1.03,87.0,20.0,4.0,4.0,12.0,-0.5490043157074613,-0.6036672965726144,-0.5001734754298377,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3193268463990113,-1.382128148927941,-1.2562449019774997,0.6787887,0.2832404461542748,0.7173463703169086,0.6388487359787687,0.7893530257750134,14.854211470395835,0.89473,0.3362455638655847,0.7623957063052413,143,bayes-no-distance-gbr-out-smoke,bayes-no-distance-gbr-out-smoke_20251221T000442Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
TUR,['Turkish'],85664944,39.0,35.0,87.3079,2024,7.932803135318054,0.873079,1.25,1.0,0.75,0.75,False,6.925963828580352,5.194472871435265,6.925963828580352,6.925963828580352,18,False,Türkiye,,25-05-2025,unknown,,-2.0880161803704844,-2.1734868243849292,-2.0031147112829992,0.12410123944979685,0.11378019790017846,0.1349144098176655,0.10958279845537304,0.10154360307504622,0.11788695608089696,0.9,1.03,87.0,20.0,4.0,4.0,12.0,-0.5490043157074613,-0.6036672965726144,-0.5001734754298377,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3193268463990113,-1.382128148927941,-1.2562449019774997,0.6787887,0.2832404461542748,0.7173463703169086,0.6388487359787687,0.7893530257750134,9.272657678041044,0.743146,-1.6322284048215199,0.22721790222342028,154,bayes-no-distance-gbr-out-smoke,bayes-no-distance-gbr-out-smoke_20251221T000442Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
CHL,['Spanish'],20206953,-30.0,-71.0,94.4574,2023,7.3055008313257455,0.944574,1.25,1.0,0.75,1.0,False,6.9005861422486845,6.9005861422486845,6.9005861422486845,6.9005861422486845,19,False,Chile,,25-05-2025,unknown,,-1.2348672383400499,-1.315423052920304,-1.160918364180694,0.2912245601992834,0.2683607702497742,0.31319842644077767,0.21751557648459063,0.20519719860994973,0.22898087892264493,0.9,1.03,87.0,20.0,4.0,4.0,12.0,-0.5490043157074613,-0.6036672965726144,-0.5001734754298377,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3193268463990113,-1.382128148927941,-1.2562449019774997,0.6787887,0.2832404461542748,0.7173463703169086,0.6388487359787687,0.7893530257750134,16.82153731106627,0.944574,1.0300720231912424,0.9383733983219071,105,bayes-no-distance-gbr-out-smoke,bayes-no-distance-gbr-out-smoke_20251221T000442Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
MAR,"['Arabic', 'Berber']",36828330,32.0,-5.0,91.0,2023,7.566182025989628,0.91,1.25,1.0,0.75,0.75,False,6.8852256436505614,5.163919232737921,6.8852256436505614,6.8852256436505614,20,False,Morocco,,25-05-2025,unknown,,-1.6017188178912698,-1.6851476962292442,-1.5251485467865178,0.20179048483864082,0.185417069314146,0.21758873349087013,0.1648452059329646,0.15403665660326912,0.17504060991783538,0.9,1.03,87.0,20.0,4.0,4.0,12.0,-0.5490043157074613,-0.6036672965726144,-0.5001734754298377,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3193268463990113,-1.382128148927941,-1.2562449019774997,0.6787887,0.2832404461542748,0.7173463703169086,0.6388487359787687,0.7893530257750134,10.556411517605202,0.991497,-1.1794806379101774,1.1040382976577952,127,bayes-no-distance-gbr-out-smoke,bayes-no-distance-gbr-out-smoke_20251221T000442Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
ARG,"['Guaraní', 'Spanish']",46735004,-34.0,-64.0,89.6672,2024,7.6696422841965495,0.8966719999999999,1.25,1.0,0.75,1.0,False,6.877153486255088,6.877153486255088,6.877153486255088,6.877153486255088,21,False,Argentina,,25-05-2025,unknown,,-1.7463188828553884,-1.8286194062515104,-1.6687552244284352,0.17462600458524358,0.16063530639928933,0.18848154223369548,0.14658936115930138,0.13679741295177866,0.1561033882309657,0.9,1.03,87.0,20.0,4.0,4.0,12.0,-0.5490043157074613,-0.6036672965726144,-0.5001734754298377,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3193268463990113,-1.382128148927941,-1.2562449019774997,0.6787887,0.2832404461542748,0.7173463703169086,0.6388487359787687,0.7893530257750134,17.660003992187775,0.8966719999999999,1.3257781825871962,0.7692520717232725,137,bayes-no-distance-gbr-out-smoke,bayes-no-distance-gbr-out-smoke_20251221T000442Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
KAZ,"['Kazakh', 'Russian']",20426568,48.0196,66.9237,93.3917,2024,7.310195404132739,0.933917,1.25,1.0,0.75,0.75,False,6.827115761241435,5.120336820931076,6.827115761241435,6.827115761241435,22,False,Kazakhstan,,25-05-2025,unknown,,-1.2668872547739696,-1.3453514552180452,-1.1944040223202848,0.28202774315925194,0.2604481575722062,0.3028844226872166,0.21260316017539552,0.20072898630820776,0.2237360148203506,0.9,1.03,87.0,20.0,4.0,4.0,12.0,-0.5490043157074613,-0.6036672965726144,-0.5001734754298377,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3193268463990113,-1.382128148927941,-1.2562449019774997,0.6787887,0.2832404461542748,0.7173463703169086,0.6388487359787687,0.7893530257750134,17.7920279210548,0.34976199999999996,1.372339709518014,-1.161651538356872,106,bayes-no-distance-gbr-out-smoke,bayes-no-distance-gbr-out-smoke_20251221T000442Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
BEL,"['German', 'French', 'Dutch']",11825551,50.83333333,4.0,95.7758,2024,7.072821385408543,0.957758,1.25,1.0,0.75,1.0,False,6.774051264446115,6.774051264446115,6.774051264446115,6.774051264446115,23,False,Belgium,,25-05-2025,unknown,,-0.9521893024805077,-1.0281265406418298,-0.8793411418591774,0.38633871529932234,0.35767642672765376,0.4150563900170908,0.2623450818664315,0.2501228793874826,0.27406295292339655,0.9,1.03,87.0,20.0,4.0,4.0,12.0,-0.5490043157074613,-0.6036672965726144,-0.5001734754298377,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3193268463990113,-1.382128148927941,-1.2562449019774997,0.6787887,0.2832404461542748,0.7173463703169086,0.6388487359787687,0.7893530257750134,16.285773087451204,0.957758,0.8411214250648429,0.9849204228694499,87,bayes-no-distance-gbr-out-smoke,bayes-no-distance-gbr-out-smoke_20251221T000442Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
CHE,"['French', 'Swiss German', 'Italian', 'Romansh']",9082848,47.0,8.0,97.3444,2023,6.958222046400911,0.973444,1.25,1.0,0.75,1.0,False,6.773439501736688,6.773439501736688,6.773439501736688,6.773439501736688,24,False,Switzerland,,25-05-2025,unknown,,-0.7896831059410162,-0.8655574618553364,-0.7146797156582485,0.4545349157149389,0.42081691439381835,0.48934882817056624,0.2882696212904772,0.27627062688589005,0.2999832807784514,0.9,1.03,87.0,20.0,4.0,4.0,12.0,-0.5490043157074613,-0.6036672965726144,-0.5001734754298377,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3193268463990113,-1.382128148927941,-1.2562449019774997,0.6787887,0.2832404461542748,0.7173463703169086,0.6388487359787687,0.7893530257750134,16.02189835778526,0.973444,0.7480594291286514,1.0403009315961456,63,bayes-no-distance-gbr-out-smoke,bayes-no-distance-gbr-out-smoke_20251221T000442Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
DNK,['Danish'],6011488,56.0,10.0,99.7692,2024,6.778981984515728,0.997692,1.25,1.0,0.75,1.0,False,6.763336094095466,6.763336094095466,6.763336094095466,6.763336094095466,25,False,Denmark,,25-05-2025,unknown,,-0.5362378005081927,-0.6208200168950493,-0.45439382895419267,0.5857132060337864,0.5375034964012066,0.6348327365967658,0.32571771568225144,0.314012177735364,0.33647664096688423,0.9,1.03,87.0,20.0,4.0,4.0,12.0,-0.5490043157074613,-0.6036672965726144,-0.5001734754298377,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3193268463990113,-1.382128148927941,-1.2562449019774997,0.6787887,0.2832404461542748,0.7173463703169086,0.6388487359787687,0.7893530257750134,15.60918286322111,0.997692,0.6025050301660989,1.1259101739527004,42,bayes-no-distance-gbr-out-smoke,bayes-no-distance-gbr-out-smoke_20251221T000442Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
