alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,bayes_rank,run_label,run_id,model_variant,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
MMR,['Burmese'],51316756,22.0,98.0,58.5357,2023,8669.84478633941,7.710259194549563,0.585357,1.25,1.0,0.75,0.75,False,4.513254191343949,3.3849406435079614,4.513254191343949,4.513254191343949,118,False,Myanmar,,25-05-2025,unknown,,5.705730890927914,5.518265462630585,5.876967130810401,302.3781923299911,249.20241369869296,356.72570873085857,6.33212431823828e-92,4.2650265128351507e-153,1.4777483388128607e-106,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,17.7535278844901,0.585357,9.067721502898577,1.3587617126751066,-0.32986708384546826,0.43838088601388714,219,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
LIE,['German'],40900,47.26666666,9.53333333,97.3444,2023,1103.0639621616363,4.611723308007342,0.973444,1.25,1.0,0.75,1.0,False,4.489254383839898,4.489254383839898,4.489254383839898,4.489254383839898,119,False,Liechtenstein,,25-05-2025,unknown,,-12.861496624713576,-13.336790985398581,-12.39652166525244,2.708458698927553e-06,1.6150073395185782e-06,4.133941029346275e-06,2.708450725931823e-06,1.6150047312691478e-06,4.133923939900341e-06,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,10.618885342030893,0.973444,7.006753161899385,-1.157447687645549,1.0403009315961456,-2.1807709035708136,170,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
KIR,"['English', 'Gilbertese']",120740,1.41666666,173.0,88.0,2023,13835.747667249623,5.081851171517454,0.88,1.25,1.0,0.75,1.25,False,4.472029030935359,5.590036288669199,4.472029030935359,4.472029030935359,120,False,Kiribati,,25-05-2025,unknown,,-0.9690541551412307,-1.2692400768375376,-0.6434011194331081,0.3860602152110644,0.2810451424926236,0.5255021399277966,0.25955918361635855,0.21218745698536123,0.31070752767426757,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,11.701394752350417,0.88,9.535083206415052,-0.7756737812484537,0.710390421749317,1.0323207432147365,27,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
SYC,"['Seychellois Creole', 'English', 'French']",122729,-4.58333333,55.66666666,87.4009,2023,8406.135789880173,5.088947195586477,0.8740089999999999,1.25,1.0,0.75,1.25,False,4.447785649467341,5.559732061834176,4.447785649467341,4.447785649467341,121,False,Seychelles,,25-05-2025,unknown,,-3.1339830208211152,-3.4204798238364367,-2.831167156624896,0.044235669531277826,0.03269674351841212,0.058944037752835216,0.04226218347911402,0.03164495520860951,0.05557005095122048,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,11.717733951591278,0.8740089999999999,9.036836123006779,-0.7699113556638645,0.6892387815745344,0.39913064795521486,77,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
NCL,['French'],264596,-21.5,165.5,82.0058,2017,16250.330845857748,5.422583274503567,0.820058,1.25,1.0,0.75,1.0,False,4.4468327949228454,4.4468327949228454,4.4468327949228454,4.4468327949228454,122,False,New Caledonia,,25-05-2025,unknown,,0.5951677252282267,0.33888148060544104,0.8750634695753844,1.8353982155113697,1.4033770594696635,2.399028005720053,0.29188096996613805,0.21784659262265813,0.3449017889058024,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,12.485959413390752,0.820058,9.695930082611039,-0.4989775118108784,0.4987610417865734,1.23673066803366,20,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
SEN,['French'],18593258,14.0,-14.0,60.6122,2023,4569.936356771596,7.26935549560564,0.606122,1.25,1.0,0.75,1.0,False,4.406116291707482,4.406116291707482,4.406116291707482,4.406116291707482,123,False,Senegal,,25-05-2025,unknown,,1.1889624060460062,1.0515682816413041,1.3153865230319162,3.2942321124297083,2.862136253511276,3.7261910074773916,0.12385219865719795,0.0897430759680039,0.1635612155975903,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,16.73830959985589,0.606122,8.427473354973296,1.0007196978198654,-0.256554814069245,-0.3752692070311116,51,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
KHM,['Khmer'],17577760,13.0,105.0,60.7171,2023,9914.893053324236,7.244963530486225,0.607171,1.25,1.0,0.75,0.75,False,4.398931751768852,3.2991988138266386,4.398931751768852,4.398931751768852,124,False,Cambodia,,25-05-2025,unknown,,4.398781211833182,4.257632131943604,4.529295240265343,81.64465022234528,70.64251310981219,92.6932117265921,1.16632028189973e-27,5.1392760486582813e-39,1.4771089163974366e-29,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,16.682145024583093,0.607171,9.201894107833127,0.9809118614180554,-0.25285124696135886,0.608892199233378,210,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
LAO,['Lao'],7647000,18.0,105.0,63.6255,2023,9455.383447078086,6.88349109018893,0.636255,1.25,1.0,0.75,0.75,False,4.379655623588158,3.2847417176911184,4.379655623588158,4.379655623588158,125,False,Lao People's Democratic Republic,,25-05-2025,unknown,,2.8732986502924027,2.76334957660648,2.9721572092978152,17.733311649935853,15.852854772016128,19.534013553948622,6.413850262549492e-07,6.416236714038807e-08,2.066816747387642e-06,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,15.849823972026362,0.636255,9.154445289487649,0.6873731110091028,-0.15016817187483472,0.5485925551238587,177,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
BRB,['English'],267800,13.16666666,-59.53333333,79.9923,2023,6733.941320680728,5.42781057267599,0.799923,1.25,1.0,0.75,1.25,False,4.341830516726696,5.42728814590837,4.341830516726696,4.341830516726696,126,False,Barbados,,25-05-2025,unknown,,-3.37429836799211,-3.5935755787882098,-3.147576071404536,0.03456112534026793,0.027499828264456058,0.04295612466986343,0.033365656291588074,0.02675389125405083,0.041149966497541025,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,12.49799571223921,0.799923,8.815064376212705,-0.49473261122513473,0.42767303061661205,0.11729523304854209,83,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
GIB,['English'],38000,36.13333333,-5.35,94.4445,2016,2003.4594911670542,4.57978359661681,0.9444450000000001,1.25,1.0,0.75,1.25,False,4.325353718906763,5.406692148633454,4.325353718906763,4.325353718906763,127,False,Gibraltar,,25-05-2025,unknown,,-10.788847476501985,-11.21073475052857,-10.367318745105091,2.133148414817255e-05,1.3529192048715635e-05,3.144448538974417e-05,2.1330997703713436e-05,1.3529009010916163e-05,3.144349664961417e-05,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,10.545341438708522,0.9444450000000001,7.603129722932015,-1.1833847769635848,0.9379179548930062,-1.4228743818136198,158,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
CPV,['Portuguese'],491233,16.5388,-23.0418,73.539,2023,4544.570455698424,5.6912875341031945,0.73539,1.25,1.0,0.75,1.0,False,4.185315939704148,4.185315939704148,4.185315939704148,4.185315939704148,128,False,Cabo Verde,,25-05-2025,unknown,,-4.5832082575402735,-4.760756004494289,-4.400487701186989,0.01028569814393087,0.00855913720549681,0.012271356424401048,0.010179139826722257,0.00848619099941628,0.01212169037464357,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,13.104673835968857,0.73539,8.42190851154044,-0.28077245991932537,0.19983480738188955,-0.3823412077726933,103,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
GUM,"['Chamorro', 'English', 'Spanish']",153836,13.46666666,144.78333333,80.5055,2017,11880.866232958191,5.187057978975404,0.805055,1.25,1.0,0.75,1.25,False,4.1758669612640436,5.219833701580054,4.1758669612640436,4.1758669612640436,129,False,Guam,,25-05-2025,unknown,,-1.991157198827132,-2.252738821559956,-1.7077460176472177,0.13831555610925148,0.10511096146933092,0.18127397330597658,0.12003861071324666,0.09462347415728664,0.15121996280803485,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,11.943642378884586,0.805055,9.38276867089559,-0.6902391219136438,0.4457919118346025,0.8387540200635447,53,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
NAM,"['Afrikaans', 'German', 'English', 'Herero', 'Khoekhoe', 'Kwangali', 'Lozi', 'Ndonga', 'Tswana']",3022401,-22.0,17.0,64.4061,2023,8645.062200942311,6.480352084269662,0.644061,1.25,1.0,0.75,1.25,False,4.1737420437468025,5.217177554683503,4.1737420437468025,4.1737420437468025,130,False,Namibia,,25-05-2025,unknown,,0.7351207448209086,0.6279979464400247,0.8449134084317158,2.090244424286009,1.873855321384696,2.327776254618901,0.25857500312075865,0.2269869310841164,0.28769414751232597,0.9,1.01,693.0,20,4,4,12,-2.3596923798347182,-2.4891109390368804,-2.2277487307667116,5,95,1.0,6,1.0,13.900796422998402,2.8354724934856366,5.633064307707984,5.471753889235463,5.786639097487608,0.6787887,0.2832404461542748,3.221673342497159,3.0329834742527964,3.4290218210676455,8.722766647297384,0.7868838870640574,3.362726802276279,3.2544545680841215,3.4675248507676653,14.921562106592217,0.644061,9.064859259388873,0.3599984432714392,-0.12260854857248961,0.4347434452723023,28,bayes-distance-one-constraint-smoke,bayes-distance-one-constraint-smoke_20251220T235752Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
