alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,run_label,run_id,bayes_rank
LAO,['Lao'],7647000,18.0,105.0,63.6255,2023,9455.383447078086,6.88349109018893,0.636255,1.25,1.0,0.75,0.75,False,4.379655623588158,3.2847417176911184,4.379655623588158,4.379655623588158,124,False,Lao People's Democratic Republic,,25-05-2025,unknown,,2.875983962935779,2.7630081794033665,2.9842615274848407,17.782140933346238,15.847443297888713,19.771895844598728,6.121462413608369e-07,5.1194471377571815e-08,2.0773142196876535e-06,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,15.518438813485714,0.834933,8.21631142681249,0.5705018807989739,0.5512782588788597,-0.6436212874742275,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,177
BRB,['English'],267800,13.16666666,-59.53333333,79.9923,2023,6733.941320680728,5.42781057267599,0.799923,1.25,1.0,0.75,1.25,False,4.341830516726696,5.42728814590837,4.341830516726696,4.341830516726696,125,False,Barbados,,25-05-2025,unknown,,-3.367791396832485,-3.5980624754006567,-3.1380689933381123,0.03479851108244779,0.02737671520947282,0.04336645902261481,0.03358608875135066,0.02663739689919764,0.0415260046767847,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,12.49799571223921,0.799923,8.815064376212705,-0.49473261122513473,0.42767303061661205,0.11729523304854209,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,83
GIB,['English'],38000,36.13333333,-5.35,94.4445,2016,2003.4594911670542,4.57978359661681,0.9444450000000001,1.25,1.0,0.75,1.25,False,4.325353718906763,5.406692148633454,4.325353718906763,4.325353718906763,126,False,Gibraltar,,25-05-2025,unknown,,-10.780010507898451,-11.20454826868026,-10.343825737652653,2.154033254158018e-05,1.3613143379978368e-05,3.2191933450039396e-05,2.1539835147588023e-05,1.3612958063566814e-05,3.219089714609344e-05,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,16.480230830640718,0.265014,8.483555345871364,0.9097017917008342,-1.4608602182988586,-0.30399822052341247,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,158
CPV,['Portuguese'],491233,16.5388,-23.0418,73.539,2023,4544.570455698424,5.6912875341031945,0.73539,1.25,1.0,0.75,1.0,False,4.185315939704148,4.185315939704148,4.185315939704148,4.185315939704148,127,False,Cabo Verde,,25-05-2025,unknown,,-4.576916618960986,-4.761858386436593,-4.385632755467031,0.010353101838050738,0.008549706977810368,0.012455005670130677,0.010245097681367013,0.008476921080640664,0.012300840560424544,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,13.104673835968857,0.73539,8.42190851154044,-0.28077245991932537,0.19983480738188955,-0.3823412077726933,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,103
GUM,"['Chamorro', 'English', 'Spanish']",153836,13.46666666,144.78333333,80.5055,2017,11880.866232958191,5.187057978975404,0.805055,1.25,1.0,0.75,1.25,False,4.1758669612640436,5.219833701580054,4.1758669612640436,4.1758669612640436,128,False,Guam,,25-05-2025,unknown,,-1.9841446503802431,-2.254922067790159,-1.7096581388328105,0.13936395925792255,0.1048817188958842,0.18092763701380554,0.12080658430823725,0.09443875300670941,0.15098334239551398,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,13.55800198552004,0.817221,8.91732552680969,-0.12089499660670891,0.48874481691996396,0.2472523363494252,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,53
NAM,"['Afrikaans', 'German', 'English', 'Herero', 'Khoekhoe', 'Kwangali', 'Lozi', 'Ndonga', 'Tswana']",3022401,-22.0,17.0,64.4061,2023,8645.062200942311,6.480352084269662,0.644061,1.25,1.0,0.75,1.25,False,4.1737420437468025,5.217177554683503,4.1737420437468025,4.1737420437468025,129,False,Namibia,,25-05-2025,unknown,,0.7391456286868028,0.6286441927946352,0.8453580144720102,2.0988386994552894,1.8750666283580593,2.3288114145356538,0.2574304778686373,0.22685292031384213,0.28753162218617295,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,12.485959413390752,0.820058,9.695930082611039,-0.4989775118108784,0.4987610417865734,1.23673066803366,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,28
NPL,['Nepali'],29911840,28.0,84.0,55.7716,2023,7274.024934828563,7.475843129088429,0.557716,1.25,1.0,0.75,0.75,False,4.169397326582682,3.127047994937011,4.169397326582682,4.169397326582682,130,False,Nepal,,25-05-2025,unknown,,3.5703500404841773,3.389601451885909,3.7399664805938437,35.725950945985744,29.654131499463425,42.096580272951385,1.8400384434951702e-12,2.1976303120914904e-17,3.921585822399211e-12,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,9.365633256382218,0.816554,9.545695956329675,-1.599438251309264,0.4863899272526999,1.045807802854781,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,203
HND,['Spanish'],9892632,15.0,-86.5,58.2789,2023,8306.703236709109,6.995311853882634,0.582789,1.25,1.0,0.75,1.0,False,4.0767908000124065,4.0767908000124065,4.0767908000124065,4.0767908000124065,131,False,Honduras,,25-05-2025,unknown,,2.22600144396573,2.082314799809104,2.35753951707779,9.293813976504644,8.023019121583864,10.564924630688237,0.0010664965039313796,0.0002726326936278503,0.0026301765316843304,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,15.167791205946209,0.8363240000000001,7.373095624812952,0.4468372681655939,0.5561892806587165,-1.715209886327943,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,132
GTM,['Spanish'],18079810,15.5,-90.25,56.0535,2023,8506.069378051501,7.25719386217999,0.560535,1.25,1.0,0.75,1.0,False,4.067911161537061,4.067911161537061,4.067911161537061,4.067911161537061,132,False,Guatemala,,25-05-2025,unknown,,3.271450377421075,3.096621619693921,3.4293238523140657,26.47668695075121,22.12308497414772,30.855772642121558,1.2530853253234855e-09,1.2270003935764657e-12,5.456503027854263e-09,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,12.585720675740419,,8.883062173766731,-0.46379421781706853,0.0,0.20370924999802245,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,198
BLZ,"['Belizean Creole', 'English', 'Spanish']",417634,17.25,-88.75,72.3595,2023,8254.296742517694,5.620795847779911,0.723595,1.25,1.0,0.75,1.25,False,4.067179771474305,5.083974714342881,4.067179771474305,4.067179771474305,133,False,Belize,,25-05-2025,unknown,,-2.4834990755759687,-2.6722993836266626,-2.2926110538882325,0.083998142347368,0.06909317284891367,0.1010023967308802,0.07714888659745135,0.06448049339069271,0.09129918378309788,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,12.942360729860852,0.723595,9.01861030271211,-0.3380162196387061,0.158191743475771,0.3759686279999313,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,64
DMA,['English'],67408,15.41666666,-61.33333333,83.8255,2023,6641.679533511476,4.828711441782772,0.8382550000000001,1.25,1.0,0.75,1.25,False,4.047691509631618,5.059614387039523,4.047691509631618,4.047691509631618,134,False,Dominica,,25-05-2025,unknown,,-5.729528255553353,-6.04811763103777,-5.413866164145504,0.0033088637678792337,0.002362306276832107,0.0044543864965501155,0.0032975244432747308,0.002356732368711847,0.0044345890628990576,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,11.118518984218797,0.8382550000000001,8.801270705271952,-0.9812394389900645,0.563006809815369,0.09976574595709978,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,120
CYM,['English'],84738,19.3133,-81.2546,81.0677,2017,7586.076353167158,4.928078209497234,0.810677,1.25,1.0,0.75,1.25,False,3.9950796586405892,4.993849573300737,3.9950796586405892,3.9950796586405892,135,False,Cayman Islands,,25-05-2025,unknown,,-5.020777490500506,-5.316582660811747,-4.723376932192524,0.006705574442448691,0.004909503528045402,0.008885124395520552,0.006659313914625961,0.004885459373860017,0.008806528643141957,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,11.347319422297119,0.810677,8.934201598970995,-0.9005472656030964,0.46564077196857445,0.2686990484231372,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,110
TJK,"['Russian', 'Tajik']",10499000,39.0,71.0,56.791,2023,5560.601283896435,7.021147935720995,0.5679099999999999,1.25,1.0,0.75,0.75,False,3.9873801241753095,2.990535093131482,3.9873801241753095,3.9873801241753095,136,False,Tajikistan,,25-05-2025,unknown,,0.46022843317954293,0.3155538283239193,0.5938328593532587,1.5900257342251811,1.3710184113095412,1.8109161182754425,0.32348746737184947,0.2960925340857166,0.34803070087941457,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,7.866338923046544,,9.611351325718024,-2.128201741972718,0.0,1.1292449788698036,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,11
NIC,['Spanish'],6803886,13.0,-85.0,58.2314,2023,8385.961072901764,6.832757028340634,0.582314,1.25,1.0,0.75,1.0,False,3.978810076201148,3.978810076201148,3.978810076201148,3.978810076201148,137,False,Nicaragua,,25-05-2025,unknown,,1.5181294520933555,1.3789389823668854,1.6458950541407646,4.578321182385613,3.9706864243821216,5.185649272203248,0.04880230102471132,0.02902045930363682,0.0748890614072674,0.9,1.0,1522.0,20.0,4.0,4.0,12.0,-2.3542777537653854,-2.4868462313687125,-2.2190559362354008,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.628920566862607,5.4696855579253905,5.784704825820326,0.6787887,0.2832404461542748,3.219535065440234,3.0364557922705093,3.425507748183559,8.722766647297384,0.7868838870640574,3.362358371198323,3.253321384551398,3.4719076202486283,7.427144133408616,,9.67984675851887,-2.2830947238820674,0.0,1.2162914083708696,nb-compare-distance-with-distance,nb-compare-distance-with-distance_20251221T105541Z,76
