alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,run_label,run_id,bayes_rank
PLW,"['English', 'Palauan']",16733,7.5,134.5,26.9703,2004,92.5,12063.401260879404,4.223573811054687,0.269703,1.25,1.0,0.75,1.25,False,1.1391105275628826,1.4238881594536033,1.1391105275628826,1.1391105275628826,201,False,Palau,,25-05-2025,True,observed_zero,0.0,,False,-6.2493986239153685,-7.505011185058239,-5.667723549481007,0.002248265950813861,0.0005503206951040405,0.0034557241113942513,0.0022422025142649505,0.0005500179255542283,0.003443802692691027,0.9,3.59,4.0,23.0,5.0,4.0,14.0,12.0,-0.6700560381712455,-0.7991865146283345,-0.4984581013094936,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.6143854929282364,2.481565778525824,2.707824475635317,0.6841490590909092,0.2708939338374484,1.9756460728391179,1.789064861464496,2.4031082247392654,8.744890416992915,0.7377465833651973,1.8742665053311605,1.1412277714874384,2.0730947768893713,16.282046070385316,0.24066700000000002,9.546430270667054,0.7725045305334894,-1.6371059063914783,1.086470438152288,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed1_20251221T160830Z,189
YEM,['Arabic'],32684503,15.0,48.0,13.8152,2020,9.0,6109.810390375518,7.514341885477597,0.138152,1.25,1.0,0.75,0.75,False,1.038121360162501,0.7785910201218758,1.038121360162501,1.038121360162501,202,False,Yemen,,25-05-2025,False,unknown,,,False,-1.7308331282618556,-2.838779688761346,-1.1993789228395564,0.20722693470857162,0.058497007981575234,0.30138133586598104,0.16221792688317752,0.05517327013590092,0.22296058871084853,0.9,3.59,4.0,23.0,5.0,4.0,14.0,12.0,-0.6700560381712455,-0.7991865146283345,-0.4984581013094936,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.6143854929282364,2.481565778525824,2.707824475635317,0.6841490590909092,0.2708939338374484,1.9756460728391179,1.789064861464496,2.4031082247392654,8.744890416992915,0.7377465833651973,1.8742665053311605,1.1412277714874384,2.0730947768893713,17.960246303627507,0.7565919999999999,9.165680493485038,1.3829655993155003,0.26742179082002104,0.5703721114813008,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed1_20251221T160830Z,77
TCD,"['Arabic', 'French']",19340757,15.0,19.0,13.1832,2023,,4705.393967769562,7.286473468427895,0.131832,1.25,1.0,0.75,1.0,False,0.9605903702897862,0.9605903702897862,0.9605903702897862,0.9605903702897862,203,False,Chad,,25-05-2025,False,unknown,,,False,-2.939332952269006,-3.9754253937918183,-2.4447481521101158,0.059709492946231256,0.018771315601766175,0.0867479804464435,0.055704827607819224,0.018422239867529385,0.07953992985956823,0.9,3.59,4.0,23.0,5.0,4.0,14.0,12.0,-0.6700560381712455,-0.7991865146283345,-0.4984581013094936,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.6143854929282364,2.481565778525824,2.707824475635317,0.6841490590909092,0.2708939338374484,1.9756460728391179,1.789064861464496,2.4031082247392654,8.744890416992915,0.7377465833651973,1.8742665053311605,1.1412277714874384,2.0730947768893713,15.906818662658083,0.370223,8.541658178598208,0.6360120430339876,-1.1588523029802595,-0.27547703097135595,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed1_20251221T160830Z,134
BDI,"['French', 'Kirundi']",12332788,-3.5,30.0,11.0784,2023,,7046.964812275331,7.0910612660640675,0.11078400000000001,1.25,1.0,0.75,1.0,False,0.7855761312996417,0.7855761312996417,0.7855761312996417,0.7855761312996417,204,False,Burundi,,25-05-2025,False,unknown,,,False,-2.4948375966754885,-3.6869201752824052,-1.9173445103475937,0.09890888428118089,0.025049030986943752,0.14699679376779948,0.08777618135362884,0.024429370382759375,0.12690185363540538,0.9,3.59,4.0,23.0,5.0,4.0,14.0,12.0,-0.6700560381712455,-0.7991865146283345,-0.4984581013094936,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.6143854929282364,2.481565778525824,2.707824475635317,0.6841490590909092,0.2708939338374484,1.9756460728391179,1.789064861464496,2.4031082247392654,8.744890416992915,0.7377465833651973,1.8742665053311605,1.1412277714874384,2.0730947768893713,16.327771964746606,0.11078400000000001,8.860494175020596,0.7891377533098194,-2.116566624319319,0.15669846615942346,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed1_20251221T160830Z,116
UGA,"['English', 'Swahili']",45905417,1.0,32.0,8.94983,2024,8.09,6661.8249932357285,7.661863936831315,0.0894983,1.25,1.0,0.75,1.25,False,0.6857237971777101,0.8571547464721376,0.6857237971777101,0.6857237971777101,205,False,Uganda,,25-05-2025,True,observed_multi,59.0,,False,-1.5429119023986946,-2.762570433692206,-0.9648156578184823,0.2589802104114539,0.06312929097524682,0.3810534384888282,0.18966411095463034,0.0592671725539073,0.260313372813557,0.9,3.59,4.0,23.0,5.0,4.0,14.0,12.0,-0.6700560381712455,-0.7991865146283345,-0.4984581013094936,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.6143854929282364,2.481565778525824,2.707824475635317,0.6841490590909092,0.2708939338374484,1.9756460728391179,1.789064861464496,2.4031082247392654,8.744890416992915,0.7377465833651973,1.8742665053311605,1.1412277714874384,2.0730947768893713,17.30782753299391,0.823755,7.780842881273602,1.1456421547555016,0.5153527763853961,-1.3067461882667808,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed1_20251221T160830Z,71
SSD,['English'],15786898,7.0,30.0,9.27123,2020,,5960.601122696266,7.198296802976665,0.0927123,1.25,1.0,0.75,1.25,False,0.6673706526866134,0.8342133158582667,0.6673706526866134,0.6673706526866134,206,False,South Sudan,,25-05-2025,False,unknown,,,False,-2.81709794990993,-3.9562561650738752,-2.255802409571307,0.07056991242252991,0.019134618209008084,0.1047894269548607,0.06484265541612923,0.018771965272618586,0.09436435929359749,0.9,3.59,4.0,23.0,5.0,4.0,14.0,12.0,-0.6700560381712455,-0.7991865146283345,-0.4984581013094936,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.6143854929282364,2.481565778525824,2.707824475635317,0.6841490590909092,0.2708939338374484,1.9756460728391179,1.789064861464496,2.4031082247392654,8.744890416992915,0.7377465833651973,1.8742665053311605,1.1412277714874384,2.0730947768893713,12.252989627817923,0.614607,8.691458455204462,-0.6931025248063615,-0.2567132386679367,-0.07242590205531778,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed1_20251221T160830Z,131
CAF,"['French', 'Sango']",6470307,7.0,21.0,7.50916,2019,,5619.121474387147,6.810924887352293,0.0750916,1.25,1.0,0.75,1.0,False,0.5114432472711034,0.5114432472711034,0.5114432472711034,0.5114432472711034,207,False,Central African Republic,,25-05-2025,False,unknown,,,False,-3.9437193212141644,-5.05477071271245,-3.3767998688457057,0.022699075096302895,0.006378830179374398,0.034156586578695095,0.02208858811749644,0.006338270205038167,0.03300961401541295,0.9,3.59,4.0,23.0,5.0,4.0,14.0,12.0,-0.6700560381712455,-0.7991865146283345,-0.4984581013094936,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.6143854929282364,2.481565778525824,2.707824475635317,0.6841490590909092,0.2708939338374484,1.9756460728391179,1.789064861464496,2.4031082247392654,8.744890416992915,0.7377465833651973,1.8742665053311605,1.1412277714874384,2.0730947768893713,15.682734115119539,0.0750916,8.634108557313779,0.554499187965655,-2.2483244658271966,-0.15016248421485023,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed1_20251221T160830Z,156
TKL,"['English', 'Samoan', 'Tokelauan']",2608,-9.0,-172.0,,,,14932.336260013946,3.4163075870598827,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,208,False,Tokelau,,25-05-2025,False,unknown,,,False,-4.452560811303717,-5.204267742783007,-4.113743256681313,0.012224444120058393,0.005493072313179767,0.016346471824005344,0.012064763787598132,0.00546298119172073,0.016081436778442967,0.9,3.59,4.0,23.0,5.0,4.0,14.0,12.0,-0.6700560381712455,-0.7991865146283345,-0.4984581013094936,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.6143854929282364,2.481565778525824,2.707824475635317,0.6841490590909092,0.2708939338374484,1.9756460728391179,1.789064861464496,2.4031082247392654,8.744890416992915,0.7377465833651973,1.8742665053311605,1.1412277714874384,2.0730947768893713,15.769649755335378,0.21251,8.472574469772706,0.5861155669703982,-1.7410469566805402,-0.36911854742593597,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed1_20251221T160830Z,165
ATA,[],1300,-90.0,0.0,,,,16012.069436816457,3.113943352306837,,1.25,1.0,0.75,0.75,False,0.0,0.0,0.0,0.0,209,False,Antarctica,,25-05-2025,False,unknown,,,False,-4.937318234847101,-5.735203014568062,-4.584306699392608,0.00756426989126057,0.003230227521370246,0.010210827506538251,0.007502634711259689,0.0032198099860764147,0.010107096996594372,0.9,3.59,4.0,23.0,5.0,4.0,14.0,12.0,-0.6700560381712455,-0.7991865146283345,-0.4984581013094936,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.6143854929282364,2.481565778525824,2.707824475635317,0.6841490590909092,0.2708939338374484,1.9756460728391179,1.789064861464496,2.4031082247392654,8.744890416992915,0.7377465833651973,1.8742665053311605,1.1412277714874384,2.0730947768893713,7.170119543449628,,9.681160507590878,-2.542044172364686,0.0,1.2690944447715504,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed1_20251221T160830Z,173
ASM,"['English', 'Samoan']",49710,-14.33333333,-170.0,0.0,1990,80.1,15481.564959696016,4.6964437631389995,0.0,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,210,False,American Samoa,,25-05-2025,False,unknown,,,False,-6.547131458743099,-8.512513131159768,-5.741943796686054,0.0019660495913287643,0.0002009392057699534,0.0032085264887064683,0.0019610325487472748,0.00020089883326188308,0.003198248344144761,0.9,3.59,4.0,23.0,5.0,4.0,14.0,12.0,-0.6700560381712455,-0.7991865146283345,-0.4984581013094936,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.6143854929282364,2.481565778525824,2.707824475635317,0.6841490590909092,0.2708939338374484,1.9756460728391179,1.789064861464496,2.4031082247392654,8.744890416992915,0.7377465833651973,1.8742665053311605,1.1412277714874384,2.0730947768893713,10.813961399088718,0.0,9.647469828488608,-1.2165625345933686,-2.525523733216695,1.2234274368016984,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed1_20251221T160830Z,190
WLF,['French'],11620,-13.3,-176.2,,,,15460.917628000761,4.065206128054312,,1.25,1.0,0.75,1.0,False,0.0,0.0,0.0,0.0,211,False,Wallis and Futuna,,25-05-2025,False,unknown,,,False,-2.943249131537077,-3.779308723491866,-2.6039741644732692,0.05563249209842799,0.02283847467391377,0.07397898956020475,0.05239121274871607,0.022322789889968792,0.06870363702199225,0.9,3.59,4.0,23.0,5.0,4.0,14.0,12.0,-0.6700560381712455,-0.7991865146283345,-0.4984581013094936,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.6143854929282364,2.481565778525824,2.707824475635317,0.6841490590909092,0.2708939338374484,1.9756460728391179,1.789064861464496,2.4031082247392654,8.744890416992915,0.7377465833651973,1.8742665053311605,1.1412277714874384,2.0730947768893713,12.233478646720625,0.581386,9.644899250332495,-0.7001998271054032,-0.37934795229697843,1.2199430720969673,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed1_20251221T160830Z,136
