alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_rank,run_label,run_id,model_variant,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
CAF,"['French', 'Sango']",6470307,7.0,21.0,7.50916,2019,6.810924887352293,0.0750916,1.25,1.0,0.75,1.0,False,0.5114432472711034,0.5114432472711034,0.5114432472711034,0.5114432472711034,207,False,Central African Republic,,25-05-2025,unknown,,-2.895771630982625,-3.114065054648747,-2.673888750419434,0.055750213483939846,0.04442001903217796,0.06898344464478251,0.052675923590818276,0.042490062620108196,0.06438515528040409,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,15.682734115119539,0.0750916,0.6284447111425181,-2.1313943972224205,195,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
TKL,"['English', 'Samoan', 'Tokelauan']",2608,-9.0,-172.0,,,3.4163075870598827,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,208,False,Tokelau,,25-05-2025,unknown,,2.2641686568785135,2.0919299672761134,2.4418567427946543,9.677921396688442,8.100533855078325,11.49436302958503,0.0008859825177892417,0.00011709720226362534,0.002457516773457188,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,15.769649755335378,0.21251,0.6590976765355958,-1.6462292244308512,234,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
ATA,[],1300,-90.0,0.0,,,3.113943352306837,,1.25,1.0,0.75,0.75,False,0.0,0.0,0.0,0.0,209,False,Antarctica,,25-05-2025,unknown,,2.5884119824440512,2.4019576726278276,2.7804370341004128,13.397672620778089,11.044777289755336,16.12606705060217,4.8121525473595885e-05,1.599803075713501e-06,0.00017638885235276872,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,7.170119543449628,,-2.373740847429197,0.0,239,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
ASM,"['English', 'Samoan']",49710,-14.33333333,-170.0,0.0,1990,4.6964437631389995,0.0,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,210,False,American Samoa,,25-05-2025,unknown,,-0.817314833404154,-1.0924583973546371,-0.5345871673379256,0.44797212118301577,0.3353909563547045,0.5859111245783268,0.28337244971568326,0.2398241457065299,0.3261172531057679,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,10.813961399088718,0.0,-1.088649257223105,-2.396510488584243,66,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
WLF,['French'],11620,-13.3,-176.2,,,4.065206128054312,,1.25,1.0,0.75,1.0,False,0.0,0.0,0.0,0.0,211,False,Wallis and Futuna,,25-05-2025,unknown,,1.5683157857263021,1.425765494052818,1.7130854653865202,4.817015756091546,4.161041877829075,5.546047270201538,0.04098701883338934,0.021645413302676317,0.06487607396230924,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,12.233478646720625,0.581386,-0.5880211428988855,-0.3438869742033487,202,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
ALA,['Swedish'],30654,60.116667,19.9,,,4.486487153065907,,1.25,1.0,0.75,1.0,False,0.0,0.0,0.0,0.0,212,False,Åland Islands,,25-05-2025,unknown,,1.1165508451440356,0.9935214597503548,1.2414954739696016,3.0630282562373568,2.7007282546424443,3.4607851130924203,0.14450376900103726,0.10868628817028614,0.18137169439695783,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,10.330518438558853,,-1.2591474587188178,0.0,138,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
VAT,"['Italian', 'Latin']",882,41.9,12.45,,,2.94546858513182,,1.25,1.0,0.75,1.0,False,0.0,0.0,0.0,0.0,213,False,Holy See (Vatican City State),,25-05-2025,observed_zero,0.0,2.769077592010332,2.5742906955879334,2.9690385778309945,16.060058120226206,13.122006361266857,19.4731886411091,6.404409705612792e-06,6.797335635056946e-08,2.625338407381422e-05,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,11.61613166174864,0.759927,-0.8057439338588795,0.28646438424195164,240,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
AIA,['English'],16010,18.25,-63.16666666,,,4.204391331919299,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,214,False,Anguilla,,25-05-2025,unknown,,1.4190591337034217,1.2829480385293854,1.557668563299344,4.147700756990328,3.607258403767862,4.747739279251173,0.06755658577606276,0.04116895956017894,0.0978509022479686,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,9.68096880599076,,-1.4882273154483054,0.0,184,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
UMI,['English'],0,19.3,166.633333,,,,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,215,False,United States Minor Outlying Islands,,25-05-2025,unknown,,5.927680427997038,5.589035320960966,6.277992286617678,383.55951376384536,267.4774653514901,532.7180443369172,8.534564691068627e-77,2.3442331641511847e-229,1.833599571992077e-114,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,15.068116657013416,0.919911,0.4116845558180785,0.8512989697405929,244,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
TWN,['Chinese'],23317031,23.5,121.0,,,7.3676732501004665,,1.25,1.0,0.75,0.75,False,0.0,0.0,0.0,0.0,216,False,"Taiwan, Province of China",,25-05-2025,unknown,,-1.9731180187632225,-2.026065539880715,-1.920796150361652,0.1390930809346438,0.13185327443331468,0.14649028839778352,0.12101558805284995,0.1155653848643821,0.12652866041591848,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,18.03726579437233,0.290638,1.4588289538612245,-1.3703929127006915,149,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
ATF,['French'],400,-49.25,69.167,,,2.6020599913279625,,1.25,1.0,0.75,1.0,False,0.0,0.0,0.0,0.0,217,False,French Southern Territories,,25-05-2025,unknown,,3.1373352484546726,2.9259426981895698,3.353794190161961,23.23999128483993,18.651800787108993,28.611083871088088,3.8875645244283746e-08,1.0737387495174626e-11,1.4802893924912517e-07,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,5.991464547107982,,-2.7894228895049187,0.0,242,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
IMN,"['English', 'Manx']",84530,54.25,-4.5,,,4.927010868975651,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,218,False,Isle of Man,,25-05-2025,unknown,,0.6441508116092608,0.5407069879012749,0.7483744788258306,1.9081782658638449,1.7172204884211413,2.1135615846864644,0.28298200226757114,0.2553328973646757,0.3083519357235579,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,21.072154949811278,0.5589999999999999,2.529158206714659,-0.42292229667917497,68,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
TCA,['English'],50828,21.75,-71.58333333,0.0,1990,4.706103021249971,0.0,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,219,False,Turks and Caicos Islands,,25-05-2025,unknown,,-0.8276730359043822,-1.1025935353750949,-0.5453586696656577,0.443345004835354,0.3320088903383895,0.5796338568968598,0.28177131119191035,0.23821005210659105,0.32465489488199833,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,16.777725188898692,0.131832,1.014620587048507,-1.931068487662545,72,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
SXM,"['English', 'French', 'Dutch']",41349,18.033333,-63.05,,,4.616465010872037,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,220,False,Sint Maarten (Dutch part),,25-05-2025,unknown,,0.977167783191081,0.8603389598995044,1.0962364707323065,2.663790348453753,2.363961847294458,2.9928810075872776,0.1864653235169138,0.15007133427691435,0.22232324737619286,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,11.717733951591278,0.8740089999999999,-0.7699113556638645,0.6892387815745344,117,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
HMD,['English'],0,-53.0818,73.5042,,,,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,221,False,Heard Island and McDonald Islands,,25-05-2025,unknown,,5.927680427997038,5.589035320960966,6.277992286617678,383.55951376384536,267.4774653514901,532.7180443369172,8.534564691068627e-77,2.3442331641511847e-229,1.833599571992077e-114,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,16.107300795594696,0.582789,0.7781787260026797,-0.33893358559289627,244,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
GUF,['French'],292354,4.0,-53.0,,,5.46590904024973,,1.25,1.0,0.75,1.0,False,0.0,0.0,0.0,0.0,222,False,French Guiana,,25-05-2025,unknown,,0.06625794230942837,-0.01428978871028951,0.14711560874938143,1.069781123113053,0.9858118271070097,1.1584878876293692,0.3665883841447882,0.36371951265471597,0.3678678558033492,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,11.943642378884586,0.805055,-0.6902391219136438,0.4457919118346025,10,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
JEY,"['English', 'French', 'Jèrriais']",103267,49.25,-2.16666666,,,5.013961560555626,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,223,False,Jersey,,25-05-2025,unknown,,0.5509083637346269,0.4515283841547232,0.6508858008448718,1.7380416445676115,1.5707110027368936,1.91723837012947,0.30540464355120345,0.28185780622546536,0.3265465989018563,0.9,1.0,3716.0,20.0,4.0,4.0,12.0,-0.5461992028915058,-0.6050800018744268,-0.4865162282341388,5.0,95.0,1.0,6.0,1.0,False,13.900796422998402,2.8354724934856366,-1.3205363966881154,-1.3830154541648834,-1.2601049255668901,0.6787887,0.2832404461542748,0.7130019276121254,0.619515835269029,0.8058172981432865,16.27800116846794,0.925344,0.8383804642545658,0.8704805522926864,55,bayes-nodistance,bayes-nodistance_20251221T000524Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
