alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
ALA,['Swedish'],30654,60.116667,19.9,,,,1479.042966831538,4.486487153065907,,1.25,1.0,0.75,1.0,False,0.0,0.0,0.0,0.0,212,False,Åland Islands,,25-05-2025,False,unknown,,,False,-4.177608932286331,-4.437139219467352,-3.9538381866518515,0.015549079038659801,0.011829733439544578,0.01918094128178984,0.01530264438949084,0.011690615333419328,0.01881653873740233,0.9,3.46,4.0,23.0,5.0,4.0,14.0,12.0,-0.6049051001555759,-0.6893414889057145,-0.5291390626521224,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.5658244342469407,2.4102505479606666,2.7376870251464682,0.6841490590909092,0.2708939338374484,2.9777510483485026,2.8516662848567926,3.1453595287295864,0.32363846153846154,0.2659810274855117,-2.3101710303947964,-2.9992911810951117,-1.7877355790250327,10.330518438558853,,,-1.3924194439980584,0.0,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed1_20251221T163142Z,122
VAT,"['Italian', 'Latin']",882,41.9,12.45,,,,1716.0446558773492,2.94546858513182,,1.25,1.0,0.75,1.0,False,0.0,0.0,0.0,0.0,213,False,Holy See (Vatican City State),,25-05-2025,True,observed_zero,0.0,,False,-7.48941343667458,-7.9707731269433255,-7.064837507939896,0.0005840873308713774,0.00034541283686055407,0.0008546347802832405,0.000583715659349055,0.0003452935474349409,0.0008539046916995571,0.9,3.46,4.0,23.0,5.0,4.0,14.0,12.0,-0.6049051001555759,-0.6893414889057145,-0.5291390626521224,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.5658244342469407,2.4102505479606666,2.7376870251464682,0.6841490590909092,0.2708939338374484,2.9777510483485026,2.8516662848567926,3.1453595287295864,0.32363846153846154,0.2659810274855117,-2.3101710303947964,-2.9992911810951117,-1.7877355790250327,11.61613166174864,0.759927,0.95,-0.9247655808160112,0.27973288229688403,2.3549105903640326,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed1_20251221T163142Z,171
AIA,['English'],16010,18.25,-63.16666666,,,92.31,6504.417949577811,4.204391331919299,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,214,False,Anguilla,,25-05-2025,False,unknown,,,False,-9.990468337672882,-11.283068493124514,-8.893181453427886,6.367807505529948e-05,1.2585200139658588e-05,0.00013732307848461276,6.367176832406993e-05,1.2585041753391086e-05,0.00013730422215146258,0.9,3.46,4.0,23.0,5.0,4.0,14.0,12.0,-0.6049051001555759,-0.6893414889057145,-0.5291390626521224,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.5658244342469407,2.4102505479606666,2.7376870251464682,0.6841490590909092,0.2708939338374484,2.9777510483485026,2.8516662848567926,3.1453595287295864,0.32363846153846154,0.2659810274855117,-2.3101710303947964,-2.9992911810951117,-1.7877355790250327,9.68096880599076,,0.9231,-1.6286992126871713,0.0,2.253775557334411,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed1_20251221T163142Z,184
UMI,['English'],0,19.3,166.633333,,,,11792.245165393097,,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,215,False,United States Minor Outlying Islands,,25-05-2025,False,unknown,,,False,-13.81952284012657,-14.724882313168434,-13.011132863928454,2.2613294069808608e-06,2.2613294069810543e-06,2.2613294069810543e-06,2.261324293376453e-06,2.2613242933761493e-06,2.2613242933761493e-06,0.9,3.46,4.0,23.0,5.0,4.0,14.0,12.0,-0.6049051001555759,-0.6893414889057145,-0.5291390626521224,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.5658244342469407,2.4102505479606666,2.7376870251464682,0.6841490590909092,0.2708939338374484,2.9777510483485026,2.8516662848567926,3.1453595287295864,0.32363846153846154,0.2659810274855117,-2.3101710303947964,-2.9992911810951117,-1.7877355790250327,15.068116657013416,0.919911,,0.33092632524314136,0.8703108909428783,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed1_20251221T163142Z,190
TWN,['Chinese'],23317031,23.5,121.0,,,,9822.659031290194,7.3676732501004665,,1.25,1.0,0.75,0.75,False,0.0,0.0,0.0,0.0,216,False,"Taiwan, Province of China",,25-05-2025,False,unknown,,,False,2.0143509134226703,1.8626782438437568,2.1695669540205893,7.533271788875518,6.440964165172749,8.75449212838444,0.004930514424248105,0.0013810307500596393,0.01027248907040453,0.9,3.46,4.0,23.0,5.0,4.0,14.0,12.0,-0.6049051001555759,-0.6893414889057145,-0.5291390626521224,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.5658244342469407,2.4102505479606666,2.7376870251464682,0.6841490590909092,0.2708939338374484,2.9777510483485026,2.8516662848567926,3.1453595287295864,0.32363846153846154,0.2659810274855117,-2.3101710303947964,-2.9992911810951117,-1.7877355790250327,18.03726579437233,0.290638,0.0989,1.4109821611689668,-1.4526388742504581,-0.8449417000267183,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed1_20251221T163142Z,144
ATF,['French'],400,-49.25,69.167,,,,13262.951285515242,2.6020599913279625,,1.25,1.0,0.75,1.0,False,0.0,0.0,0.0,0.0,217,False,French Southern Territories,,25-05-2025,False,unknown,,,False,-8.227433179895439,-8.75822648826834,-7.7581088424980384,0.000281795646836526,0.00015716409294660888,0.0004272648403344534,0.000281707592986844,0.00015713939433516648,0.0004270823240848321,0.9,3.46,4.0,23.0,5.0,4.0,14.0,12.0,-0.6049051001555759,-0.6893414889057145,-0.5291390626521224,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.5658244342469407,2.4102505479606666,2.7376870251464682,0.6841490590909092,0.2708939338374484,2.9777510483485026,2.8516662848567926,3.1453595287295864,0.32363846153846154,0.2659810274855117,-2.3101710303947964,-2.9992911810951117,-1.7877355790250327,5.991464547107982,,,-2.9707909777455312,0.0,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed1_20251221T163142Z,174
IMN,"['English', 'Manx']",84530,54.25,-4.5,,,99.93,165.25139578600334,4.927010868975651,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,218,False,Isle of Man,,25-05-2025,False,unknown,,,False,-9.09931902910964,-10.68350444313867,-7.830601734162835,0.00017452570349993062,2.292091358191393e-05,0.00039738728743003,0.00017447381438229657,2.292038821964849e-05,0.0003972294021466961,0.9,3.46,4.0,23.0,5.0,4.0,14.0,12.0,-0.6049051001555759,-0.6893414889057145,-0.5291390626521224,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.5658244342469407,2.4102505479606666,2.7376870251464682,0.6841490590909092,0.2708939338374484,2.9777510483485026,2.8516662848567926,3.1453595287295864,0.32363846153846154,0.2659810274855117,-2.3101710303947964,-2.9992911810951117,-1.7877355790250327,21.072154949811278,0.5589999999999999,0.12179999999999999,2.51495154501592,-0.46198546168259974,-0.7588453336186015,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed1_20251221T163142Z,178
TCA,['English'],50828,21.75,-71.58333333,0.0,1990,,6743.2966747033925,4.706103021249971,0.0,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,219,False,Turks and Caicos Islands,,25-05-2025,False,unknown,,,False,-11.226013200411021,-11.720025604670612,-10.826034560441869,1.3808629030019384e-05,8.130382386084451e-06,1.9876265074377762e-05,1.3808425332667067e-05,8.130316283235415e-06,1.9875870012390644e-05,0.9,3.46,4.0,23.0,5.0,4.0,14.0,12.0,-0.6049051001555759,-0.6893414889057145,-0.5291390626521224,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.5658244342469407,2.4102505479606666,2.7376870251464682,0.6841490590909092,0.2708939338374484,2.9777510483485026,2.8516662848567926,3.1453595287295864,0.32363846153846154,0.2659810274855117,-2.3101710303947964,-2.9992911810951117,-1.7877355790250327,16.777725188898692,0.131832,,0.9528124571245898,-2.038868317451252,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed1_20251221T163142Z,188
SXM,"['English', 'French', 'Dutch']",41349,18.033333,-63.05,,,,6516.195857909914,4.616465010872037,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,220,False,Sint Maarten (Dutch part),,25-05-2025,False,unknown,,,False,-3.8982733915535954,-4.139093384639696,-3.6914397601638984,0.02052442868704885,0.015937294967123657,0.024936075218453913,0.02009759723071977,0.015685310901559744,0.02432195605367639,0.9,3.46,4.0,23.0,5.0,4.0,14.0,12.0,-0.6049051001555759,-0.6893414889057145,-0.5291390626521224,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.5658244342469407,2.4102505479606666,2.7376870251464682,0.6841490590909092,0.2708939338374484,2.9777510483485026,2.8516662848567926,3.1453595287295864,0.32363846153846154,0.2659810274855117,-2.3101710303947964,-2.9992911810951117,-1.7877355790250327,11.717733951591278,0.8740089999999999,0.37929999999999997,-0.8878067953150646,0.7008644978481408,0.2092688301407903,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed1_20251221T163142Z,116
HMD,['English'],0,-53.0818,73.5042,,,,13782.295945144233,,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,221,False,Heard Island and McDonald Islands,,25-05-2025,False,unknown,,,False,-13.81952284012657,-14.724882313168434,-13.011132863928454,2.2613294069808608e-06,2.2613294069810543e-06,2.2613294069810543e-06,2.261324293376453e-06,2.2613242933761493e-06,2.2613242933761493e-06,0.9,3.46,4.0,23.0,5.0,4.0,14.0,12.0,-0.6049051001555759,-0.6893414889057145,-0.5291390626521224,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.5658244342469407,2.4102505479606666,2.7376870251464682,0.6841490590909092,0.2708939338374484,2.9777510483485026,2.8516662848567926,3.1453595287295864,0.32363846153846154,0.2659810274855117,-2.3101710303947964,-2.9992911810951117,-1.7877355790250327,16.107300795594696,0.582789,,0.7089392985067976,-0.3741688034687809,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed1_20251221T163142Z,190
GUF,['French'],292354,4.0,-53.0,,,,7207.831667217101,5.46590904024973,,1.25,1.0,0.75,1.0,False,0.0,0.0,0.0,0.0,222,False,French Guiana,,25-05-2025,False,unknown,,,False,-2.072732401161651,-2.1950281108676255,-1.976586652499983,0.12634475988305893,0.11135543216406919,0.13854132183109757,0.11124491905955622,0.099620876390106,0.12061785344703839,0.9,3.46,4.0,23.0,5.0,4.0,14.0,12.0,-0.6049051001555759,-0.6893414889057145,-0.5291390626521224,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.5658244342469407,2.4102505479606666,2.7376870251464682,0.6841490590909092,0.2708939338374484,2.9777510483485026,2.8516662848567926,3.1453595287295864,0.32363846153846154,0.2659810274855117,-2.3101710303947964,-2.9992911810951117,-1.7877355790250327,11.943642378884586,0.805055,0.9109,-0.8056304868861799,0.4463220685541122,2.2079076241388207,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed1_20251221T163142Z,78
