alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
YEM,['Arabic'],32684503,15.0,48.0,13.8152,2020,9.0,6109.810390375518,7.514341885477597,0.138152,1.25,1.0,0.75,0.75,False,1.038121360162501,0.7785910201218758,1.038121360162501,1.038121360162501,202,False,Yemen,,25-05-2025,False,unknown,,1.5061747578479925,1.2246124391501874,1.7789994708648924,4.574788461189896,3.4028470185102675,5.9239264088176835,0.05490960177494112,0.01584459460453354,0.11324127290171429,0.9,1.0,3504.0,22.0,5.0,4.0,13.0,-2.254794531732351,-2.410809282768902,-2.1024498254223882,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.899186590858734,5.74039857957997,6.0562683418550955,0.6901696809523811,0.27582698083674123,2.5695177748151496,2.467113678629064,2.67456621353643,8.738194412333426,0.7536433696948793,2.6193834848602333,2.496225030992123,2.743628454632717,0.32077500000000003,0.27664924882421066,-2.256518772491863,-2.4040583232977766,-2.1126341703570635,17.960246303627507,0.7565919999999999,9.165680493485038,0.31,1.4430744484225904,0.24081153644259862,0.5672259563892721,-0.03894823515984574,nb-ablate-dist-eng-dist1_eng1-seed2,nb-ablate-dist-eng-dist1-eng1-seed2_20251221T141103Z,62
TCD,"['Arabic', 'French']",19340757,15.0,19.0,13.1832,2023,,4705.393967769562,7.286473468427895,0.131832,1.25,1.0,0.75,1.0,False,0.9605903702897862,0.9605903702897862,0.9605903702897862,0.9605903702897862,203,False,Chad,,25-05-2025,False,unknown,,-2.4761056564198967,-2.71536369188948,-2.242228604150551,0.08493265401143055,0.06618088019741435,0.10622151583981154,0.07788753170614185,0.06194275934486249,0.09551708858359163,0.9,1.0,3504.0,22.0,5.0,4.0,13.0,-2.254794531732351,-2.410809282768902,-2.1024498254223882,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.899186590858734,5.74039857957997,6.0562683418550955,0.6901696809523811,0.27582698083674123,2.5695177748151496,2.467113678629064,2.67456621353643,8.738194412333426,0.7536433696948793,2.6193834848602333,2.496225030992123,2.743628454632717,0.32077500000000003,0.27664924882421066,-2.256518772491863,-2.4040583232977766,-2.1126341703570635,15.906818662658083,0.370223,8.541658178598208,,0.6911240486312752,-1.1599542582157825,-0.2607814805227938,0.0,nb-ablate-dist-eng-dist1_eng1-seed2,nb-ablate-dist-eng-dist1-eng1-seed2_20251221T141103Z,54
BDI,"['French', 'Kirundi']",12332788,-3.5,30.0,11.0784,2023,,7046.964812275331,7.0910612660640675,0.11078400000000001,1.25,1.0,0.75,1.0,False,0.7855761312996417,0.7855761312996417,0.7855761312996417,0.7855761312996417,204,False,Burundi,,25-05-2025,False,unknown,,-2.2406719820559298,-2.487175599506392,-1.9991427309416137,0.10756580618769175,0.08314446955817152,0.13545135309546164,0.09637952953242222,0.07651105362265812,0.11829259859718555,0.9,1.0,3504.0,22.0,5.0,4.0,13.0,-2.254794531732351,-2.410809282768902,-2.1024498254223882,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.899186590858734,5.74039857957997,6.0562683418550955,0.6901696809523811,0.27582698083674123,2.5695177748151496,2.467113678629064,2.67456621353643,8.738194412333426,0.7536433696948793,2.6193834848602333,2.496225030992123,2.743628454632717,0.32077500000000003,0.27664924882421066,-2.256518772491863,-2.4040583232977766,-2.1126341703570635,16.327771964746606,0.11078400000000001,8.860494175020596,,0.8452741133735142,-2.1005402705521137,0.1622780317654551,0.0,nb-ablate-dist-eng-dist1_eng1-seed2,nb-ablate-dist-eng-dist1-eng1-seed2_20251221T141103Z,50
UGA,"['English', 'Swahili']",45905417,1.0,32.0,8.94983,2024,8.09,6661.8249932357285,7.661863936831315,0.0894983,1.25,1.0,0.75,1.25,False,0.6857237971777101,0.8571547464721376,0.6857237971777101,0.6857237971777101,205,False,Uganda,,25-05-2025,True,observed_multi,59.0,2.1615386528619336,1.852999881273321,2.4603185221272135,8.835040501508463,6.37892720256971,11.708540382709673,0.002957881434031472,9.628271008137401e-05,0.010824688052252163,0.9,1.0,3504.0,22.0,5.0,4.0,13.0,-2.254794531732351,-2.410809282768902,-2.1024498254223882,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.899186590858734,5.74039857957997,6.0562683418550955,0.6901696809523811,0.27582698083674123,2.5695177748151496,2.467113678629064,2.67456621353643,8.738194412333426,0.7536433696948793,2.6193834848602333,2.496225030992123,2.743628454632717,0.32077500000000003,0.27664924882421066,-2.256518772491863,-2.4040583232977766,-2.1126341703570635,17.30782753299391,0.823755,7.780842881273602,0.18,1.2041633976403558,0.48430838289415395,-1.2702978219624195,-0.508857336856359,nb-ablate-dist-eng-dist1_eng1-seed2,nb-ablate-dist-eng-dist1-eng1-seed2_20251221T141103Z,105
SSD,['English'],15786898,7.0,30.0,9.27123,2020,,5960.601122696266,7.198296802976665,0.0927123,1.25,1.0,0.75,1.25,False,0.6673706526866134,0.8342133158582667,0.6673706526866134,0.6673706526866134,206,False,South Sudan,,25-05-2025,False,unknown,,-2.4574375276924942,-2.708703929228848,-2.2123980355564257,0.08663223726281054,0.0666231000340784,0.10943789868393819,0.07929367064319616,0.062329090855757135,0.09809332822106964,0.9,1.0,3504.0,22.0,5.0,4.0,13.0,-2.254794531732351,-2.410809282768902,-2.1024498254223882,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.899186590858734,5.74039857957997,6.0562683418550955,0.6901696809523811,0.27582698083674123,2.5695177748151496,2.467113678629064,2.67456621353643,8.738194412333426,0.7536433696948793,2.6193834848602333,2.496225030992123,2.743628454632717,0.32077500000000003,0.27664924882421066,-2.256518772491863,-2.4040583232977766,-2.1126341703570635,12.252989627817923,0.614607,8.691458455204462,,-0.6468818049473186,-0.2739495633210216,-0.06201335937963079,0.0,nb-ablate-dist-eng-dist1_eng1-seed2,nb-ablate-dist-eng-dist1-eng1-seed2_20251221T141103Z,53
CAF,"['French', 'Sango']",6470307,7.0,21.0,7.50916,2019,,5619.121474387147,6.810924887352293,0.0750916,1.25,1.0,0.75,1.0,False,0.5114432472711034,0.5114432472711034,0.5114432472711034,0.5114432472711034,207,False,Central African Republic,,25-05-2025,False,unknown,,-4.753439549880833,-5.0112434919601805,-4.501521460997039,0.008725609994690867,0.0066626142550357086,0.011092108485473606,0.008648003116156648,0.006618371376497889,0.010969753456917515,0.9,1.0,3504.0,22.0,5.0,4.0,13.0,-2.254794531732351,-2.410809282768902,-2.1024498254223882,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.899186590858734,5.74039857957997,6.0562683418550955,0.6901696809523811,0.27582698083674123,2.5695177748151496,2.467113678629064,2.67456621353643,8.738194412333426,0.7536433696948793,2.6193834848602333,2.496225030992123,2.743628454632717,0.32077500000000003,0.27664924882421066,-2.256518772491863,-2.4040583232977766,-2.1126341703570635,15.682734115119539,0.0750916,8.634108557313779,,0.6090659026577873,-2.2299416796953544,-0.13811022455062238,0.0,nb-ablate-dist-eng-dist1_eng1-seed2,nb-ablate-dist-eng-dist1-eng1-seed2_20251221T141103Z,88
TKL,"['English', 'Samoan', 'Tokelauan']",2608,-9.0,-172.0,,,,14932.336260013946,3.4163075870598827,,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,208,False,Tokelau,,25-05-2025,False,unknown,,-12.512319563491962,-13.018451103567656,-12.006413011562246,3.8603752930961945e-06,2.220006240833053e-06,6.105935528896954e-06,3.8603589280930445e-06,2.220001312410795e-06,6.1058982465620394e-06,0.9,1.0,3504.0,22.0,5.0,4.0,13.0,-2.254794531732351,-2.410809282768902,-2.1024498254223882,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.899186590858734,5.74039857957997,6.0562683418550955,0.6901696809523811,0.27582698083674123,2.5695177748151496,2.467113678629064,2.67456621353643,8.738194412333426,0.7536433696948793,2.6193834848602333,2.496225030992123,2.743628454632717,0.32077500000000003,0.27664924882421066,-2.256518772491863,-2.4040583232977766,-2.1126341703570635,15.769649755335378,0.21251,8.472574469772706,,0.6408937835650315,-1.7317366107672487,-0.35244779326892944,0.0,nb-ablate-dist-eng-dist1_eng1-seed2,nb-ablate-dist-eng-dist1-eng1-seed2_20251221T141103Z,160
ATA,[],1300,-90.0,0.0,,,,16012.069436816457,3.113943352306837,,1.25,1.0,0.75,0.75,False,0.0,0.0,0.0,0.0,209,False,Antarctica,,25-05-2025,False,unknown,,-13.773689541199552,-14.320517882383239,-13.226414734265171,1.102861083220734e-06,6.045011559337622e-07,1.8033581124036835e-06,1.1028597269300152e-06,6.045007905122241e-07,1.8033548603058334e-06,0.9,1.0,3504.0,22.0,5.0,4.0,13.0,-2.254794531732351,-2.410809282768902,-2.1024498254223882,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.899186590858734,5.74039857957997,6.0562683418550955,0.6901696809523811,0.27582698083674123,2.5695177748151496,2.467113678629064,2.67456621353643,8.738194412333426,0.7536433696948793,2.6193834848602333,2.496225030992123,2.743628454632717,0.32077500000000003,0.27664924882421066,-2.256518772491863,-2.4040583232977766,-2.1126341703570635,7.170119543449628,,9.681160507590878,,-2.508192189482542,0.0,1.251209966378689,0.0,nb-ablate-dist-eng-dist1_eng1-seed2,nb-ablate-dist-eng-dist1-eng1-seed2_20251221T141103Z,170
ASM,"['English', 'Samoan']",49710,-14.33333333,-170.0,0.0,1990,80.1,15481.564959696016,4.6964437631389995,0.0,1.25,1.0,0.75,1.25,False,0.0,0.0,0.0,0.0,210,False,American Samoa,,25-05-2025,False,unknown,,-16.36562476387486,-16.95733080526858,-15.778887673394886,8.424227853751326e-08,4.4204084198783774e-08,1.4138352911901838e-07,8.424227049611264e-08,4.420408224478275e-08,1.413835091297172e-07,0.9,1.0,3504.0,22.0,5.0,4.0,13.0,-2.254794531732351,-2.410809282768902,-2.1024498254223882,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.899186590858734,5.74039857957997,6.0562683418550955,0.6901696809523811,0.27582698083674123,2.5695177748151496,2.467113678629064,2.67456621353643,8.738194412333426,0.7536433696948793,2.6193834848602333,2.496225030992123,2.743628454632717,0.32077500000000003,0.27664924882421066,-2.256518772491863,-2.4040583232977766,-2.1126341703570635,10.813961399088718,0.0,9.647469828488608,0.8009999999999999,-1.1738435689338325,-2.5021833573303853,1.2065062239230107,1.7358622950939078,nb-ablate-dist-eng-dist1_eng1-seed2,nb-ablate-dist-eng-dist1-eng1-seed2_20251221T141103Z,176
WLF,['French'],11620,-13.3,-176.2,,,,15460.917628000761,4.065206128054312,,1.25,1.0,0.75,1.0,False,0.0,0.0,0.0,0.0,211,False,Wallis and Futuna,,25-05-2025,False,unknown,,-9.163713973915828,-9.590134139641323,-8.737353914084117,0.00010833533748412809,6.840124683303541e-05,0.00016047896507521308,0.00010832279684247073,6.839656826233896e-05,0.00016045321364331757,0.9,1.0,3504.0,22.0,5.0,4.0,13.0,-2.254794531732351,-2.410809282768902,-2.1024498254223882,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.899186590858734,5.74039857957997,6.0562683418550955,0.6901696809523811,0.27582698083674123,2.5695177748151496,2.467113678629064,2.67456621353643,8.738194412333426,0.7536433696948793,2.6193834848602333,2.496225030992123,2.743628454632717,0.32077500000000003,0.27664924882421066,-2.256518772491863,-2.4040583232977766,-2.1126341703570635,12.233478646720625,0.581386,9.644899250332495,0.4986,-0.6540265855783555,-0.3943910078063353,1.203095355786329,0.6427814308398649,nb-ablate-dist-eng-dist1_eng1-seed2,nb-ablate-dist-eng-dist1-eng1-seed2_20251221T141103Z,131
