alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
GTM,['Spanish'],18079810,15.5,-90.25,56.0535,2023,,8506.069378051501,7.25719386217999,0.560535,1.25,1.0,0.75,1.0,False,4.067911161537061,4.067911161537061,4.067911161537061,4.067911161537061,132,False,Guatemala,,25-05-2025,False,unknown,,2.005219789275043,1.9158631946913067,2.093596771724095,7.438508164417325,6.792799778318651,8.114047119981967,0.004634176524063315,0.0024285756644270204,0.0076203225882012495,0.9,1.0,3296.0,22.0,5.0,4.0,13.0,-2.1173042637362434,-2.2780243060390073,-1.9623899734736443,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.340245362777439,5.189405777108644,5.4956551382694885,0.6901696809523811,0.27582698083674123,2.4245767535932914,2.3382675363855574,2.5119140958446713,0.32077500000000003,0.27664924882421066,-4.187839690516614,-4.303904035971065,-4.0752486290592795,12.585720675740419,,,-0.5250380937220304,0.0,0.0,nb-ablate-dist-eng-dist0_eng1-seed2,nb-ablate-dist-eng-dist0-eng1-seed2_20251221T141122Z,95
BLZ,"['Belizean Creole', 'English', 'Spanish']",417634,17.25,-88.75,72.3595,2023,81.65,8254.296742517694,5.620795847779911,0.723595,1.25,1.0,0.75,1.25,False,4.067179771474305,5.083974714342881,4.067179771474305,4.067179771474305,133,False,Belize,,25-05-2025,False,unknown,,-11.434037903647212,-11.806336843674186,-11.079637475662237,1.1091220779987521e-05,7.458153064308672e-06,1.5424203299843892e-05,1.1091091674790801e-05,7.458097440468932e-06,1.542396539563075e-05,0.9,1.0,3296.0,22.0,5.0,4.0,13.0,-2.1173042637362434,-2.2780243060390073,-1.9623899734736443,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.340245362777439,5.189405777108644,5.4956551382694885,0.6901696809523811,0.27582698083674123,2.4245767535932914,2.3382675363855574,2.5119140958446713,0.32077500000000003,0.27664924882421066,-4.187839690516614,-4.303904035971065,-4.0752486290592795,12.942360729860852,0.723595,0.8165,-0.39443907677744,0.12118219525233093,1.791889918757723,nb-ablate-dist-eng-dist0_eng1-seed2,nb-ablate-dist-eng-dist0-eng1-seed2_20251221T141122Z,147
DMA,['English'],67408,15.41666666,-61.33333333,83.8255,2023,94.03,6641.679533511476,4.828711441782772,0.8382550000000001,1.25,1.0,0.75,1.25,False,4.047691509631618,5.059614387039523,4.047691509631618,4.047691509631618,134,False,Dominica,,25-05-2025,False,unknown,,-15.866833457336245,-16.37286122798725,-15.384258256535638,1.3548112176178918e-07,7.850981800252217e-08,2.0930588087234425e-07,1.3548110174620555e-07,7.850981183873086e-08,2.0930583706339705e-07,0.9,1.0,3296.0,22.0,5.0,4.0,13.0,-2.1173042637362434,-2.2780243060390073,-1.9623899734736443,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.340245362777439,5.189405777108644,5.4956551382694885,0.6901696809523811,0.27582698083674123,2.4245767535932914,2.3382675363855574,2.5119140958446713,0.32077500000000003,0.27664924882421066,-4.187839690516614,-4.303904035971065,-4.0752486290592795,11.118518984218797,0.8382550000000001,0.9403,-1.0623167766919965,0.5368775694038032,2.2393879709887106,nb-ablate-dist-eng-dist0_eng1-seed2,nb-ablate-dist-eng-dist0-eng1-seed2_20251221T141122Z,170
CYM,['English'],84738,19.3133,-81.2546,81.0677,2017,76.6,7586.076353167158,4.928078209497234,0.810677,1.25,1.0,0.75,1.25,False,3.9950796586405892,4.993849573300737,3.9950796586405892,3.9950796586405892,135,False,Cayman Islands,,25-05-2025,False,unknown,,-13.02331188327426,-13.45802468027668,-12.611321931591378,2.2836067114026358e-06,1.4307303752805308e-06,3.3350528178551495e-06,2.2836011468496793e-06,1.4307283282925882e-06,3.3350416952963984e-06,0.9,1.0,3296.0,22.0,5.0,4.0,13.0,-2.1173042637362434,-2.2780243060390073,-1.9623899734736443,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.340245362777439,5.189405777108644,5.4956551382694885,0.6901696809523811,0.27582698083674123,2.4245767535932914,2.3382675363855574,2.5119140958446713,0.32077500000000003,0.27664924882421066,-4.187839690516614,-4.303904035971065,-4.0752486290592795,11.347319422297119,0.810677,0.7659999999999999,-0.9785317055977949,0.43689460212358916,1.6093483061756158,nb-ablate-dist-eng-dist0_eng1-seed2,nb-ablate-dist-eng-dist0-eng1-seed2_20251221T141122Z,150
TJK,"['Russian', 'Tajik']",10499000,39.0,71.0,56.791,2023,,5560.601283896435,7.021147935720995,0.5679099999999999,1.25,1.0,0.75,0.75,False,3.9873801241753095,2.990535093131482,3.9873801241753095,3.9873801241753095,136,False,Tajikistan,,25-05-2025,False,unknown,,1.0071701095877637,0.916672531025522,1.0974148184058277,2.7419388887866303,2.500954681802583,2.996409740262225,0.1772400590281659,0.1497190229947954,0.20509496775809036,0.9,1.0,3296.0,22.0,5.0,4.0,13.0,-2.1173042637362434,-2.2780243060390073,-1.9623899734736443,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.340245362777439,5.189405777108644,5.4956551382694885,0.6901696809523811,0.27582698083674123,2.4245767535932914,2.3382675363855574,2.5119140958446713,0.32077500000000003,0.27664924882421066,-4.187839690516614,-4.303904035971065,-4.0752486290592795,7.866338923046544,,,-2.2532416714388637,0.0,0.0,nb-ablate-dist-eng-dist0_eng1-seed2,nb-ablate-dist-eng-dist0-eng1-seed2_20251221T141122Z,39
NIC,['Spanish'],6803886,13.0,-85.0,58.2314,2023,,8385.961072901764,6.832757028340634,0.582314,1.25,1.0,0.75,1.0,False,3.978810076201148,3.978810076201148,3.978810076201148,3.978810076201148,137,False,Nicaragua,,25-05-2025,False,unknown,,0.28548982047457894,0.18737129783356699,0.38324231189903446,1.332700571288903,1.2060750159647327,1.467033468356084,0.3509834616904088,0.33831050353985254,0.361062676248599,0.9,1.0,3296.0,22.0,5.0,4.0,13.0,-2.1173042637362434,-2.2780243060390073,-1.9623899734736443,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.340245362777439,5.189405777108644,5.4956551382694885,0.6901696809523811,0.27582698083674123,2.4245767535932914,2.3382675363855574,2.5119140958446713,0.32077500000000003,0.27664924882421066,-4.187839690516614,-4.303904035971065,-4.0752486290592795,7.427144133408616,,,-2.4140716374261677,0.0,0.0,nb-ablate-dist-eng-dist0_eng1-seed2,nb-ablate-dist-eng-dist0-eng1-seed2_20251221T141122Z,8
PYF,['French'],279500,-17.6797,-149.4068,72.7039,2017,,15105.878135071034,5.446381812222442,0.727039,1.25,1.0,0.75,1.0,False,3.959731986376392,3.959731986376392,3.959731986376392,3.959731986376392,138,False,French Polynesia,,25-05-2025,False,unknown,,-4.684975515388183,-4.9253989688811854,-4.4547266422667695,0.009326935994941542,0.007259830256203899,0.011623497827580187,0.009238606245423912,0.007207315973887186,0.011489174292479159,0.9,1.0,3296.0,22.0,5.0,4.0,13.0,-2.1173042637362434,-2.2780243060390073,-1.9623899734736443,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.340245362777439,5.189405777108644,5.4956551382694885,0.6901696809523811,0.27582698083674123,2.4245767535932914,2.3382675363855574,2.5119140958446713,0.32077500000000003,0.27664924882421066,-4.187839690516614,-4.303904035971065,-4.0752486290592795,14.970195634356456,0.996528,,0.3481394474048775,1.1106901801928826,0.0,nb-ablate-dist-eng-dist0_eng1-seed2,nb-ablate-dist-eng-dist0-eng1-seed2_20251221T141122Z,89
SMR,['Italian'],34132,43.76666666,12.41666666,87.0278,2023,,1545.3575740145034,4.533161736960601,0.870278,1.25,1.0,0.75,1.0,False,3.945110930118598,3.945110930118598,3.945110930118598,3.945110930118598,139,False,San Marino,,25-05-2025,True,observed_one,1.0,-7.537960344986084,-7.894732790483676,-7.195820456262904,0.0005446268437638795,0.00037270249425516553,0.0007497137298263623,0.0005443167678885431,0.00037256361297485617,0.0007491518697879611,0.9,1.0,3296.0,22.0,5.0,4.0,13.0,-2.1173042637362434,-2.2780243060390073,-1.9623899734736443,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.340245362777439,5.189405777108644,5.4956551382694885,0.6901696809523811,0.27582698083674123,2.4245767535932914,2.3382675363855574,2.5119140958446713,0.32077500000000003,0.27664924882421066,-4.187839690516614,-4.303904035971065,-4.0752486290592795,16.7938423168381,0.276,,1.0159457165962231,-1.5015560830777583,0.0,nb-ablate-dist-eng-dist0_eng1-seed2,nb-ablate-dist-eng-dist0-eng1-seed2_20251221T141122Z,115
DJI,"['Arabic', 'French']",1066809,11.5,43.0,65.0248,2023,,6154.536181906155,6.028086670904087,0.6502479999999999,1.25,1.0,0.75,1.0,False,3.9197513015820404,3.9197513015820404,3.9197513015820404,3.9197513015820404,140,False,Djibouti,,25-05-2025,False,unknown,,-2.740659473444779,-2.910719793731202,-2.5769310057323898,0.06486126504923442,0.054436533690132474,0.0760069122270833,0.06074848599043756,0.05155241050791528,0.07044395113529206,0.9,1.0,3296.0,22.0,5.0,4.0,13.0,-2.1173042637362434,-2.2780243060390073,-1.9623899734736443,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.340245362777439,5.189405777108644,5.4956551382694885,0.6901696809523811,0.27582698083674123,2.4245767535932914,2.3382675363855574,2.5119140958446713,0.32077500000000003,0.27664924882421066,-4.187839690516614,-4.303904035971065,-4.0752486290592795,13.880182507699853,0.6502479999999999,,-0.051015502111757566,-0.14473450288030493,0.0,nb-ablate-dist-eng-dist0_eng1-seed2,nb-ablate-dist-eng-dist0-eng1-seed2_20251221T141122Z,65
ATG,['English'],103603,17.05,-61.8,77.5756,2023,80.0,6524.438859909447,5.015372331322167,0.7757559999999999,1.25,1.0,0.75,1.25,False,3.8907051782571584,4.863381472821448,3.8907051782571584,3.8907051782571584,141,False,Antigua and Barbuda,,25-05-2025,False,unknown,,-13.451885723351785,-13.884807215893826,-13.03767771420187,1.4882112563676934e-06,9.340498424526424e-07,2.1777497933073264e-06,1.4882088924731156e-06,9.340489700039415e-07,2.177745050718328e-06,0.9,1.0,3296.0,22.0,5.0,4.0,13.0,-2.1173042637362434,-2.2780243060390073,-1.9623899734736443,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.340245362777439,5.189405777108644,5.4956551382694885,0.6901696809523811,0.27582698083674123,2.4245767535932914,2.3382675363855574,2.5119140958446713,0.32077500000000003,0.27664924882421066,-4.187839690516614,-4.303904035971065,-4.0752486290592795,11.548321565917217,0.7757559999999999,0.8,-0.9049261695475015,0.3102898737026613,1.7322476096962427,nb-ablate-dist-eng-dist0_eng1-seed2,nb-ablate-dist-eng-dist0-eng1-seed2_20251221T141122Z,152
VCT,['English'],110872,13.25,-61.2,75.9927,2023,95.0,6829.58642169349,5.044821881759084,0.759927,1.25,1.0,0.75,1.25,False,3.8336963581395356,4.792120447674419,3.8336963581395356,3.8336963581395356,142,False,Saint Vincent and the Grenadines,,25-05-2025,False,unknown,,-15.729077717625549,-16.211607139968727,-15.269594374918196,1.5476675751161176e-07,9.20727554655291e-08,2.346142993839448e-07,1.5476673157401385e-07,9.207274698813717e-08,2.3461424434008174e-07,0.9,1.0,3296.0,22.0,5.0,4.0,13.0,-2.1173042637362434,-2.2780243060390073,-1.9623899734736443,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.340245362777439,5.189405777108644,5.4956551382694885,0.6901696809523811,0.27582698083674123,2.4245767535932914,2.3382675363855574,2.5119140958446713,0.32077500000000003,0.27664924882421066,-4.187839690516614,-4.303904035971065,-4.0752486290592795,17.166010958636768,0.616,,1.152231190409258,-0.2688992959549568,0.0,nb-ablate-dist-eng-dist0_eng1-seed2,nb-ablate-dist-eng-dist0-eng1-seed2_20251221T141122Z,169
LKA,"['Sinhala', 'Tamil']",21763170,7.0,81.0,51.2,2023,47.0,8921.169522992157,7.337722154502129,0.512,1.25,1.0,0.75,0.75,False,3.75691374310509,2.8176853073288175,3.75691374310509,3.75691374310509,143,False,Sri Lanka,,25-05-2025,False,unknown,,-0.3177335434534253,-0.4409545803502889,-0.19598094576409728,0.7298772832786644,0.6434219312103082,0.8220278986890707,0.3508489011620561,0.3381125299888253,0.3613136565286849,0.9,1.0,3296.0,22.0,5.0,4.0,13.0,-2.1173042637362434,-2.2780243060390073,-1.9623899734736443,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.340245362777439,5.189405777108644,5.4956551382694885,0.6901696809523811,0.27582698083674123,2.4245767535932914,2.3382675363855574,2.5119140958446713,0.32077500000000003,0.27664924882421066,-4.187839690516614,-4.303904035971065,-4.0752486290592795,14.565239847443495,0.47991,0.2786,0.1998475574002949,-0.7622883023065511,-0.15244935664654197,nb-ablate-dist-eng-dist0_eng1-seed2,nb-ablate-dist-eng-dist0-eng1-seed2_20251221T141122Z,9
